Unnamed: 0,NYG,DAL
First Downs,13,22
Rush-Yds-TDs,12-35-0,31-129-0
Cmp-Att-Yd-TD-INT,29-38-220-0-1,24-39-268-1-0
Sacked-Yards,3-22,1-5
Net Pass Yards,198,263
Total Yards,233,392
Fumbles-Lost,1-0,0-0
Turnovers,1,0
Penalties-Yards,6-55,5-50
Third Down Conv.,4-12,8-15
Fourth Down Conv.,1-1,0-0
Time of Possession,25:46,34:14
