Quarter,Time,Tm,Detail,CHI,ATL
2.0,14:54,Bears,Johnny Knox 23 yard pass from Jay Cutler (Robbie Gould kick),7,0
,9:03,Falcons,Roddy White 40 yard pass from Matt Ryan (Jason Elam kick),7,7
,0:04,Falcons,Tony Gonzalez 10 yard pass from Matt Ryan (Jason Elam kick),7,14
4.0,6:14,Bears,Greg Olsen 2 yard pass from Jay Cutler (Robbie Gould kick),14,14
,3:06,Falcons,Michael Turner 5 yard rush (Jason Elam kick),14,21
