Unnamed: 0,CHI,ATL
First Downs,21,16
Rush-Yds-TDs,23-83-0,23-68-1
Cmp-Att-Yd-TD-INT,27-43-300-2-2,19-33-185-2-2
Sacked-Yards,2-10,0-0
Net Pass Yards,290,185
Total Yards,373,253
Fumbles-Lost,3-1,1-0
Turnovers,3,2
Penalties-Yards,9-65,6-70
Third Down Conv.,9-16,5-12
Fourth Down Conv.,0-1,0-0
Time of Possession,33:54,26:06
