Quarter,Time,Tm,Detail,DET,ARI
2.0,12:51,Lions,Mikel Leshoure 1 yard rush (Jason Hanson kick),7,0
,9:18,Cardinals,Beanie Wells 5 yard rush (Jay Feely kick),7,7
,3:16,Cardinals,Beanie Wells 1 yard rush (Jay Feely kick),7,14
,0:30,Cardinals,Rashad Johnson 53 yard interception return (Jay Feely kick),7,21
3.0,9:19,Cardinals,Jay Feely 51 yard field goal,7,24
,4:11,Lions,Jason Hanson 41 yard field goal,10,24
4.0,5:07,Cardinals,Greg Toler 102 yard interception return (Jay Feely kick),10,31
,3:39,Cardinals,Beanie Wells 31 yard rush (Jay Feely kick),10,38
