Unnamed: 0,DET,ARI
First Downs,18,12
Rush-Yds-TDs,22-84-1,29-99-3
Cmp-Att-Yd-TD-INT,24-50-246-0-3,14-21-104-0-1
Sacked-Yards,2-18,1-7
Net Pass Yards,228,97
Total Yards,312,196
Fumbles-Lost,1-1,1-0
Turnovers,4,1
Penalties-Yards,7-63,6-50
Third Down Conv.,6-18,2-12
Fourth Down Conv.,0-2,0-0
Time of Possession,31:14,28:46
