Unnamed: 0,DAL,PHI
First Downs,24,21
Rush-Yds-TDs,32-110-2,19-66-1
Cmp-Att-Yd-TD-INT,20-25-324-3-1,27-46-264-1-2
Sacked-Yards,0-0,3-14
Net Pass Yards,324,250
Total Yards,434,316
Fumbles-Lost,0-0,2-1
Turnovers,1,3
Penalties-Yards,3-35,5-35
Third Down Conv.,8-12,6-15
Fourth Down Conv.,0-0,3-3
Time of Possession,32:19,27:41
