Quarter,Time,Down,ToGo,Location,NOR,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Jake Bailey kicks off 65 yards, touchback.",,
1,15:00,1,10,NOR 25,0,0,Alvin Kamara right guard for 1 yard (tackle by Ja'Whaun Bentley and Jalen Mills),,
1,14:25,2,9,NOR 26,0,0,Alvin Kamara up the middle for no gain (tackle by Deatrich Wise),,
1,13:48,3,9,NOR 26,0,0,Jameis Winston pass incomplete short middle intended for Chris Hogan,,
1,13:44,4,9,NOR 26,0,0,"Blake Gillikin punts 51 yards, fair catch by Gunner Olszewski at NE-23",,
1,13:37,1,10,NWE 23,0,0,Damien Harris left tackle for 7 yards (tackle by Marcus Williams),,
1,12:58,2,3,NWE 30,0,0,Mac Jones pass incomplete deep left intended for Nelson Agholor,,
1,12:52,3,3,NWE 30,0,0,Mac Jones pass incomplete deep left intended for James White,,
1,12:48,4,3,NWE 30,0,0,"Jake Bailey punts 64 yards, returned by Deonte Harty for 25 yards (tackle by Harvey Langi and Brandon Bolden)",,
1,12:33,1,10,NOR 31,0,0,Jameis Winston pass complete short right to Alvin Kamara for 9 yards (tackle by Devin McCourty),,
1,12:00,2,1,NOR 40,0,0,Alvin Kamara left guard for 5 yards (tackle by Deatrich Wise),,
1,11:25,1,10,NOR 45,0,0,Alvin Kamara left guard for no gain (tackle by Davon Godchaux),,
1,10:46,2,10,NOR 45,0,0,Jameis Winston pass incomplete short left,,
1,10:42,3,10,NOR 45,0,0,Jameis Winston pass complete short right to Deonte Harty for 12 yards (tackle by Adrian Phillips),,
1,10:16,1,10,NWE 43,0,0,Jameis Winston pass complete deep left to Kenny Stills for 17 yards (tackle by Adrian Phillips),,
1,9:37,1,10,NWE 26,0,0,Alvin Kamara up the middle for 7 yards (tackle by Ja'Whaun Bentley and Adrian Phillips),,
1,9:00,2,3,NWE 19,0,0,Tony Jones left guard for 5 yards (tackle by Lawrence Guy and Ja'Whaun Bentley),,
1,8:23,1,10,NWE 14,0,0,Jameis Winston pass incomplete short right intended for Adam Trautman (defended by Ja'Whaun Bentley),,
1,8:18,2,10,NWE 14,0,0,Taysom Hill right guard for 3 yards (tackle by Davon Godchaux),,
1,7:40,3,7,NWE 11,6,0,"Jameis Winston pass complete short middle to Alvin Kamara for 11 yards, touchdown",,
1,7:35,,,NWE 15,7,0,Aldrick Rosas kicks extra point good,,
1,7:35,,,NOR 35,7,0,"Aldrick Rosas kicks off 65 yards, touchback.",,
1,7:35,1,10,NWE 25,7,0,Mac Jones sacked by C.J. Gardner-Johnson for -5 yards,,
1,7:00,2,15,NWE 20,7,0,Mac Jones pass complete short right to J.J. Taylor for -1 yards (tackle by Demario Davis),,
1,6:15,3,16,NWE 19,7,0,Mac Jones pass complete short left to Kendrick Bourne for 14 yards (tackle by Marshon Lattimore),,
1,5:31,4,2,NWE 33,7,0,Jake Bailey punts 52 yards out of bounds,,
1,5:25,1,10,NOR 15,7,0,Alvin Kamara right guard for 6 yards (tackle by Deatrich Wise),,
1,4:49,2,4,NOR 21,7,0,Alvin Kamara right tackle for 5 yards (tackle by Ja'Whaun Bentley),,
1,4:11,1,10,NOR 26,7,0,Jameis Winston pass complete short right to Marquez Callaway for 11 yards (tackle by J.C. Jackson),,
1,3:27,1,10,NOR 37,7,0,Alvin Kamara right guard for 3 yards (tackle by Davon Godchaux and Chase Winovich),,
1,2:50,2,7,NOR 40,7,0,Jameis Winston pass complete short right to Tony Jones for 6 yards,,
1,2:13,3,1,NOR 46,7,0,Jameis Winston pass complete short right to Marquez Callaway for 13 yards (tackle by Adrian Phillips and J.C. Jackson),,
1,1:29,1,10,NWE 41,7,0,Jameis Winston pass complete short middle to Tony Jones for 4 yards (tackle by Ja'Whaun Bentley),,
1,0:44,2,6,NWE 37,7,0,Jameis Winston pass incomplete deep middle intended for Kenny Stills,,
1,0:35,,,,,,Timeout #1 by New Orleans Saints,,
1,0:35,3,6,NWE 37,7,0,Taysom Hill right tackle for 3 yards (tackle by J.C. Jackson),,
1,0:13,,,,,,Timeout #1 by New England Patriots,,
1,0:13,4,3,NWE 34,7,0,Aldrick Rosas 52 yard field goal no good,,
1,0:09,1,10,NWE 42,7,0,Damien Harris left tackle for -2 yards (tackle by C.J. Gardner-Johnson),,
Quarter,Time,Down,ToGo,Location,NOR,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,12,NWE 40,7,0,Mac Jones pass complete short middle to Jakobi Meyers for 7 yards (tackle by Kaden Elliss),,
2,14:27,3,5,NWE 47,7,0,Mac Jones pass incomplete short left intended for Jakobi Meyers,,
2,14:23,4,5,NWE 47,7,0,"Penalty on Joe Cardona: False Start, 5 yards (accepted) (no play)",,
2,14:23,4,10,NWE 42,7,0,"Jake Bailey punts 58 yards, touchback.",,
2,14:15,1,10,NOR 20,7,0,Jameis Winston pass incomplete deep right intended for Juwan Johnson,,
2,14:08,2,10,NOR 20,7,0,Alvin Kamara right tackle for 3 yards (tackle by Deatrich Wise),,
2,13:30,3,7,NOR 23,7,0,Jameis Winston scrambles up the middle for 3 yards (tackle by Kyle Van Noy),,
2,12:54,4,4,NOR 26,7,0,"Blake Gillikin punts 44 yards, returned by Gunner Olszewski for no gain (tackle by J.T. Gray and Andrew Dowell). Penalty on Chase Winovich: Offensive Holding, 10 yards (accepted)",,
2,12:46,1,10,NWE 20,7,0,Damien Harris left guard for 4 yards (tackle by Marshon Lattimore),,
2,12:13,2,6,NWE 24,7,0,Damien Harris left end for 3 yards (tackle by Kaden Elliss),,
2,11:34,3,3,NWE 27,7,0,James White left end for 6 yards (tackle by Demario Davis),,
2,11:17,1,10,NWE 33,7,0,Mac Jones pass incomplete deep middle intended for Jonnu Smith,,
2,11:09,2,10,NWE 33,7,0,Mac Jones pass complete short right to Damien Harris for 2 yards (tackle by Demario Davis),,
2,10:31,3,8,NWE 35,7,0,Mac Jones pass complete short right to Hunter Henry for 9 yards (tackle by P.J. Williams),,
2,9:56,1,10,NWE 44,7,0,Mac Jones pass incomplete deep right intended for Jonnu Smith (defended by Malcolm Jenkins),,
2,9:46,2,10,NWE 44,7,0,Mac Jones pass incomplete short right intended for Jakobi Meyers (defended by Cameron Jordan),,
2,9:42,3,10,NWE 44,7,0,Mac Jones pass complete short right to Hunter Henry for 6 yards (tackle by Marcus Williams),,
2,9:03,4,4,NWE 50,7,0,Jake Bailey punts blocked by Andrew Dowell,,
2,8:51,1,10,NWE 49,7,0,Alvin Kamara right tackle for 8 yards (tackle by Ja'Whaun Bentley),,
2,8:12,2,2,NWE 41,7,0,Alex Armah up the middle for 5 yards (tackle by Lawrence Guy),,
2,7:38,1,10,NWE 36,7,0,Alvin Kamara right tackle for 2 yards (tackle by Lawrence Guy),,
2,6:56,2,8,NWE 34,7,0,Jameis Winston pass complete short left to Alvin Kamara for 9 yards (tackle by Jonathan Jones),,
2,6:22,1,10,NWE 25,7,0,Tony Jones left guard for 7 yards (tackle by Ja'Whaun Bentley and Kyle Dugger),,
2,5:41,2,3,NWE 18,7,0,Jameis Winston sacked by Matt Judon for -9 yards,,
2,4:55,3,12,NWE 27,7,0,Alvin Kamara up the middle for 9 yards (tackle by Adrian Phillips and Jonathan Jones),,
2,4:16,4,3,NWE 18,7,0,Aldrick Rosas 36 yard field goal no good,,
2,4:13,1,10,NWE 26,7,0,Damien Harris right guard for 1 yard (tackle by Montravius Adams and Demario Davis),,
2,3:40,2,9,NWE 27,7,0,Mac Jones pass complete deep left to Jakobi Meyers for 17 yards (tackle by Paulson Adebo),,
2,3:07,1,10,NWE 44,7,0,Mac Jones pass incomplete deep left intended for Jakobi Meyers,,
2,3:01,2,10,NWE 44,7,0,Mac Jones pass incomplete short left intended for Jonnu Smith (defended by Demario Davis),,
2,2:27,3,10,NWE 44,7,0,"Mac Jones pass short middle intended for Hunter Henry is intercepted by P.J. Williams at NO-45 and returned for 46 yards. P.J. Williams fumbles (forced by Brandon Bolden), recovered by Kaden Elliss at NE-1 Replay Assistant challenged the fumble ruling, and the original play was overturned. Mac Jones pass short middle intended for Hunter Henry is intercepted by P.J. Williams at NO-45 and returned for 46 yards (tackle by Brandon Bolden)",,
2,2:44,1,9,NWE 9,7,0,Alvin Kamara right guard for 5 yards (tackle by J.C. Jackson),,
2,2:00,2,4,NWE 4,7,0,Jameis Winston sacked by and Deatrich Wise for -3 yards and Matt Judon for -3 yards,,
2,1:50,,,,,,Timeout #2 by New England Patriots,,
2,1:50,3,7,NWE 7,13,0,"Jameis Winston pass complete short middle to Marquez Callaway for 7 yards, touchdown. Penalty on Jonathan Jones: Defensive Holding, 5 yards (declined)",,
2,1:44,,,NWE 15,14,0,Aldrick Rosas kicks extra point good,,
2,1:44,,,NOR 35,14,0,"Aldrick Rosas kicks off 65 yards, touchback.",,
2,1:44,1,10,NWE 25,14,0,Mac Jones pass complete short middle to Kendrick Bourne for 31 yards (tackle by Paulson Adebo),,
2,1:23,1,10,NOR 44,14,0,Mac Jones pass complete short left to Nelson Agholor for 13 yards (tackle by Marshon Lattimore),,
2,1:17,1,10,NOR 31,14,0,Mac Jones scrambles up the middle for 2 yards (tackle by Kaden Elliss),,
2,1:12,,,,,,Timeout #2 by New Orleans Saints,,
2,1:12,2,8,NOR 29,14,0,Mac Jones pass complete short left to Jakobi Meyers for 7 yards (tackle by C.J. Gardner-Johnson),,
2,1:08,3,1,NOR 22,14,0,Brandon Bolden right tackle for no gain (tackle by Cameron Jordan and Christian Ringo),,
2,0:39,,,,,,Timeout #3 by New Orleans Saints,,
2,0:39,4,1,NOR 22,14,0,"Penalty on Hunter Henry: False Start, 5 yards (accepted) (no play)",,
2,0:38,4,6,NOR 27,14,3,Nick Folk 45 yard field goal good,,
2,0:34,,,NWE 35,14,3,"Jake Bailey kicks off 56 yards, returned by Deonte Harty for 16 yards (tackle by Cody Davis and Kyle Dugger)",,
2,0:27,1,10,NOR 25,14,3,Jameis Winston kneels for -1 yards,,
Quarter,Time,Down,ToGo,Location,NOR,NWE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 35,14,3,"Aldrick Rosas kicks off 65 yards, touchback.",,
3,15:00,1,10,NWE 25,20,3,"Mac Jones pass short middle intended for Jonnu Smith is intercepted by Malcolm Jenkins at NE-34 and returned for 34 yards, touchdown",,
3,14:51,,,NWE 15,21,3,Aldrick Rosas kicks extra point good,,
3,14:51,,,NOR 35,21,3,"Aldrick Rosas kicks off 65 yards, touchback.",,
3,14:51,1,10,NWE 25,21,3,Damien Harris right tackle for 1 yard (tackle by Shy Tuttle),,
3,14:20,2,9,NWE 26,21,3,Mac Jones pass complete short right to Hunter Henry for 3 yards (tackle by Pete Werner),,
3,13:45,3,6,NWE 29,21,3,Mac Jones pass incomplete short left intended for Jonnu Smith,,
3,13:43,4,6,NWE 29,21,3,Jake Bailey punts 41 yards out of bounds,,
3,13:35,1,10,NOR 30,21,3,Alvin Kamara right tackle for 7 yards (tackle by Kyle Dugger),,
3,13:01,2,3,NOR 37,21,3,Alvin Kamara right guard for 5 yards (tackle by Davon Godchaux),,
3,12:24,1,10,NOR 42,21,3,Alvin Kamara left guard for -1 yards (tackle by Deatrich Wise),,
3,11:45,2,11,NOR 41,21,3,Jameis Winston pass incomplete deep left intended for Kenny Stills,,
3,11:35,3,11,NOR 41,21,3,Jameis Winston pass complete short right to Marquez Callaway for 10 yards (tackle by J.C. Jackson),,
3,10:56,4,1,NWE 49,21,3,"Penalty on Calvin Throckmorton: False Start, 5 yards (accepted) (no play)",,
3,10:47,4,6,NOR 46,21,3,"Blake Gillikin punts 54 yards, touchback.",,
3,10:37,1,10,NWE 20,21,3,"J.J. Taylor left guard for no gain (tackle by Marshon Lattimore). Penalty on Jonnu Smith: Offensive Holding, 10 yards (declined) . Penalty on David Andrews: Offensive Holding, 10 yards (accepted) (no play)",,
3,10:19,1,20,NWE 10,21,3,Mac Jones pass complete short middle to Jakobi Meyers for 10 yards (tackle by C.J. Gardner-Johnson and Pete Werner),,
3,9:44,2,10,NWE 20,21,3,Mac Jones pass complete short middle to Kendrick Bourne for 8 yards (tackle by Malcolm Jenkins),,
3,9:10,3,2,NWE 28,21,3,Mac Jones pass complete deep left to Jakobi Meyers for 27 yards (tackle by Marshon Lattimore),,
3,8:30,1,10,NOR 45,21,3,J.J. Taylor left end for 2 yards (tackle by Paulson Adebo),,
3,7:50,2,8,NOR 43,21,3,Mac Jones pass complete short right to Jakobi Meyers for 7 yards (tackle by Demario Davis),,
3,7:15,3,1,NOR 36,21,3,Mac Jones up the middle for 2 yards (tackle by Shy Tuttle),,
