Quarter,Time,Tm,Detail,NOR,NWE
1.0,7:35,Saints,Alvin Kamara 11 yard pass from Jameis Winston (Aldrick Rosas kick),7,0
2.0,1:32,Saints,Marquez Callaway 7 yard pass from Jameis Winston (Aldrick Rosas kick),14,0
,0:34,Patriots,Nick Folk 45 yard field goal,14,3
3.0,14:51,Saints,Malcolm Jenkins 34 yard interception return (Aldrick Rosas kick),21,3
,1:32,Patriots,Nick Folk 26 yard field goal,21,6
4.0,9:22,Patriots,Kendrick Bourne 22 yard pass from Mac Jones (Nick Folk kick),21,13
,2:37,Saints,Taysom Hill 4 yard rush (Aldrick Rosas kick),28,13
