Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Alvin Kamara,NOR,24,89,0,4,56,2.3,33,1.4,4,6.0
Taysom Hill,NOR,6,32,1,3,16,2.7,16,2.7,2,3.0
Jameis Winston,NOR,5,4,0,1,1,0.2,3,0.6,0,
Tony Jones,NOR,2,12,0,1,9,4.5,3,1.5,0,
Alex Armah,NOR,1,5,0,1,3,3.0,2,2.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Damien Harris,NWE,6,14,0,,8,1.3,6,1.0,1,6.0
Mac Jones,NWE,6,28,0,4,28,4.7,0,0.0,0,
Brandon Bolden,NWE,3,-1,0,0,-1,-0.3,0,0.0,0,
J.J. Taylor,NWE,1,2,0,,1,1.0,1,1.0,0,
James White,NWE,1,6,0,1,5,5.0,1,1.0,0,
