Unnamed: 0,NOR,NWE
First Downs,19,16
Rush-Yds-TDs,38-142-1,17-49-0
Cmp-Att-Yd-TD-INT,13-21-128-2-0,30-51-270-1-3
Sacked-Yards,3-18,2-19
Net Pass Yards,110,251
Total Yards,252,300
Fumbles-Lost,0-0,0-0
Turnovers,0,3
Penalties-Yards,2-15,4-30
Third Down Conv.,6-13,7-19
Fourth Down Conv.,0-0,2-3
Time of Possession,32:48,27:12
