Quarter,Time,Tm,Detail,DET,MIN
1.0,3:04,Lions,Tony Scheffler 5 yard pass from Shaun Hill (Jason Hanson kick),7,0
,0:57,Vikings,Percy Harvin 24 yard pass from Brett Favre (Ryan Longwell kick),7,7
2.0,4:44,Vikings,Adrian Peterson 6 yard rush (Ryan Longwell kick),7,14
,0:00,Lions,Jason Hanson 33 yard field goal,10,14
3.0,7:47,Vikings,Ryan Longwell 31 yard field goal,10,17
,3:01,Vikings,Adrian Peterson 80 yard rush (Ryan Longwell kick),10,24
