Unnamed: 0,DET,MIN
First Downs,17,21
Rush-Yds-TDs,19-63-0,30-183-2
Cmp-Att-Yd-TD-INT,29-43-237-1-2,23-34-201-1-2
Sacked-Yards,1-5,2-16
Net Pass Yards,232,185
Total Yards,295,368
Fumbles-Lost,1-1,1-1
Turnovers,3,3
Penalties-Yards,8-67,12-100
Third Down Conv.,3-12,3-11
Fourth Down Conv.,1-1,0-0
Time of Possession,28:08,31:52
