Quarter,Time,Down,ToGo,Location,DET,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,
1,15:00,,,MIN 30,0,0,"Ryan Longwell kicks off 62 yards, returned by Stefan Logan for 26 yards (tackle by Asher Allen)",0.000,1.200
1,14:53,1,10,DET 34,0,0,Maurice Morris right end for 3 yards (tackle by Husain Abdullah),1.200,1.060
1,14:24,2,7,DET 37,0,0,Shaun Hill pass incomplete short middle intended for Jahvid Best,1.060,0.370
1,14:17,3,7,DET 37,0,0,Shaun Hill pass complete short left to Calvin Johnson for no gain,0.370,-0.910
1,13:45,4,7,DET 37,0,0,"Nick Harris punts 49 yards, returned by Greg Camarillo for 12 yards (tackle by John Wendling)",-0.910,-0.670
1,13:34,1,10,MIN 26,0,0,Brett Favre pass complete short left to Greg Lewis for 14 yards (tackle by Jonathan Wade),0.670,1.600
1,13:14,1,10,MIN 40,0,0,Adrian Peterson left guard for -2 yards (tackle by Julian Peterson and Cliff Avril),1.600,0.780
1,12:38,2,12,MIN 38,0,0,Adrian Peterson right guard for 5 yards (tackle by C.C. Brown),0.780,0.760
1,11:56,3,7,MIN 43,0,0,Brett Favre pass incomplete short middle intended for Adrian Peterson (defended by Kyle Vanden Bosch),0.760,-0.520
1,11:52,4,7,MIN 43,0,0,"Chris Kluwe punts 49 yards, fair catch by Stefan Logan",-0.520,0.380
1,11:44,1,10,DET 8,0,0,Shaun Hill pass complete short right to Tony Scheffler for 7 yards (tackle by Husain Abdullah),-0.380,-0.210
1,11:23,2,3,DET 15,0,0,Jahvid Best middle for no gain (tackle by Pat Williams),-0.210,-0.600
1,10:42,3,3,DET 15,0,0,Shaun Hill pass incomplete short left intended for Bryant Johnson,-0.600,-2.440
1,10:38,4,3,DET 15,0,0,"Nick Harris punts 53 yards, returned by Greg Camarillo for 28 yards (tackle by Don Muhlbach). Penalty on Jasper Brinkley: Illegal Block Above the , 10 yards",-2.440,-0.940
