Quarter,Time,Tm,Detail,DEN,KAN
1.0,3:58,Broncos,Brandon McManus 53 yard field goal,3,0
,0:20,Chiefs,Harrison Butker 35 yard field goal,3,3
2.0,6:26,Broncos,Tim Patrick 5 yard pass from Drew Lock (Brandon McManus kick),10,3
,2:42,Chiefs,Harrison Butker 24 yard field goal,10,6
,0:00,Chiefs,Harrison Butker 23 yard field goal,10,9
3.0,10:32,Chiefs,Harrison Butker 31 yard field goal,10,12
,3:50,Broncos,Tim Patrick 10 yard pass from Drew Lock (pass failed),16,12
,1:06,Chiefs,Travis Kelce 20 yard pass from Patrick Mahomes (Harrison Butker kick),16,19
4.0,1:04,Chiefs,Harrison Butker 48 yard field goal,16,22
