Unnamed: 0,DEN,KAN
First Downs,19,25
Rush-Yds-TDs,33-179-0,22-134-0
Cmp-Att-Yd-TD-INT,15-28-151-2-2,25-40-318-1-0
Sacked-Yards,0-0,1-5
Net Pass Yards,151,313
Total Yards,330,447
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,4-31,5-44
Third Down Conv.,7-13,3-10
Fourth Down Conv.,0-1,0-0
Time of Possession,30:31,29:29
