Unnamed: 0,KAN,PHI
First Downs,19,21
Rush-Yds-TDs,38-146-1,27-264-1
Cmp-Att-Yd-TD-INT,22-35-273-0-0,13-30-201-1-2
Sacked-Yards,5-25,6-34
Net Pass Yards,248,167
Total Yards,394,431
Fumbles-Lost,0-0,4-3
Turnovers,0,5
Penalties-Yards,9-65,6-45
Third Down Conv.,6-19,3-10
Fourth Down Conv.,0-2,0-1
Time of Possession,39:07,20:53
