Unnamed: 0,DAL,PIT
First Downs,20,30
Rush-Yds-TDs,25-127-2,19-48-1
Cmp-Att-Yd-TD-INT,22-32-319-2-0,37-46-408-3-0
Sacked-Yards,2-24,1-8
Net Pass Yards,295,400
Total Yards,422,448
Fumbles-Lost,1-1,1-0
Turnovers,1,0
Penalties-Yards,10-98,4-40
Third Down Conv.,7-13,4-10
Fourth Down Conv.,0-0,0-0
Time of Possession,30:24,29:36
