Quarter,Time,Tm,Detail,DAL,PIT
1.0,9:54,Steelers,Le'Veon Bell 2 yard pass from Ben Roethlisberger (pass failed),0,6
,5:17,Cowboys,Dan Bailey 37 yard field goal,3,6
,1:13,Steelers,Eli Rogers 3 yard pass from Ben Roethlisberger (pass failed),3,12
,0:12,Cowboys,Ezekiel Elliott 83 yard pass from Dak Prescott (Dan Bailey kick),10,12
2.0,11:04,Cowboys,Dan Bailey 53 yard field goal,13,12
,4:43,Steelers,Chris Boswell 39 yard field goal,13,15
3.0,13:10,Steelers,Chris Boswell 25 yard field goal,13,18
,5:35,Cowboys,Dan Bailey 46 yard field goal,16,18
,1:35,Cowboys,Dez Bryant 50 yard pass from Dak Prescott (Dan Bailey kick),23,18
4.0,7:51,Steelers,Le'Veon Bell 1 yard rush (pass failed),23,24
,1:55,Cowboys,Ezekiel Elliott 14 yard rush (pass failed),29,24
,0:42,Steelers,Antonio Brown 15 yard pass from Ben Roethlisberger (pass failed),29,30
,0:09,Cowboys,Ezekiel Elliott 32 yard rush (pass failed),35,30
