Quarter,Time,Down,ToGo,Location,GNB,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Packers to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,GNB 20,0,0,Eddie Lacy left guard for 10 yards (tackle by Matt Elam),0.280,0.940
1,14:34,1,10,GNB 30,0,0,Eddie Lacy left guard for 37 yards (tackle by Jimmy Smith),0.940,3.380
1,14:03,1,10,BAL 33,0,0,Aaron Rodgers pass complete short right to Jordy Nelson for 6 yards (tackle by Corey Graham),3.380,3.650
1,13:25,2,4,BAL 27,0,0,Aaron Rodgers pass incomplete short middle intended for Jordy Nelson,3.650,2.940
1,13:20,3,4,BAL 27,0,0,Aaron Rodgers pass incomplete short right intended for Jermichael Finley (defended by Josh Bynes),2.940,1.750
1,13:16,4,4,BAL 27,3,0,Mason Crosby 45 yard field goal good,1.750,3.000
1,13:16,,,GNB 35,3,0,"Tim Masthay kicks off 63 yards, returned by Jacoby Jones for 30 yards (tackle by Brandon Bostick)",0.000,-1.070
1,13:02,1,10,BAL 32,3,0,Ray Rice right guard for 2 yards (tackle by A.J. Hawk),1.070,0.800
1,12:31,2,8,BAL 34,3,0,Joe Flacco pass complete short left to Ray Rice for -2 yards (tackle by Jamari Lattimore),0.800,-0.160
1,11:52,3,10,BAL 32,3,0,Joe Flacco sacked by A.J. Hawk for -10 yards,-0.160,-1.900
1,11:17,4,20,BAL 22,3,0,"Sam Koch punts 46 yards, returned by Micah Hyde for 2 yards (tackle by Chykie Brown)",-1.900,-1.200
1,11:07,1,10,GNB 34,3,0,Eddie Lacy left guard for 2 yards,1.200,0.930
1,10:38,2,8,GNB 36,3,0,Aaron Rodgers pass complete short right to James Jones for 10 yards (tackle by Lardarius Webb),0.930,1.990
1,10:02,1,10,GNB 46,3,0,Eddie Lacy right end for no gain (tackle by Lardarius Webb and Josh Bynes),1.990,1.450
1,9:40,2,10,GNB 46,3,0,Aaron Rodgers sacked by Arthur Jones for -6 yards,1.450,-0.030
1,9:00,3,16,GNB 40,3,0,Aaron Rodgers pass complete short right to Eddie Lacy for 5 yards (tackle by Lardarius Webb and Courtney Upshaw),-0.030,-0.390
1,8:27,4,11,GNB 45,3,0,"Tim Masthay punts 55 yards, touchback",-0.390,-0.280
1,8:17,1,10,BAL 20,3,0,Joe Flacco pass complete short middle to Ray Rice for 11 yards (tackle by Nick Perry),0.280,1.000
1,7:52,1,10,BAL 31,3,0,Ray Rice right tackle for no gain (tackle by Nick Perry),1.000,0.460
1,7:18,2,10,BAL 31,3,0,Joe Flacco pass incomplete deep right intended for Marlon Brown (defended by Davon House),0.460,-0.230
1,7:12,3,10,BAL 31,3,0,Joe Flacco pass complete deep middle to Jacoby Jones for 31 yards (tackle by Jerron McMillian),-0.230,3.050
1,6:38,1,10,GNB 38,3,0,Ray Rice right guard for 1 yard (tackle by Nick Perry and Andy Mulumba),3.050,2.640
1,6:08,2,9,GNB 37,3,0,Joe Flacco pass complete short left to Billy Bajema for no gain,2.640,1.950
1,5:29,3,9,GNB 37,3,0,Joe Flacco pass incomplete short right intended for Marlon Brown (defended by Davon House),1.950,0.790
1,5:23,4,9,GNB 37,3,0,"Sam Koch punts 37 yards, touchback",0.790,-0.280
1,5:14,1,10,GNB 20,3,0,Aaron Rodgers pass incomplete short right intended for Jordy Nelson,0.280,-0.270
1,5:06,2,10,GNB 20,3,0,Aaron Rodgers pass complete short middle to Randall Cobb for 18 yards (tackle by Matt Elam),-0.270,1.470
1,4:42,1,10,GNB 38,3,0,Eddie Lacy right end for 8 yards (tackle by Lardarius Webb and James Ihedigbo),1.470,2.000
1,4:16,2,2,GNB 46,3,0,Aaron Rodgers pass incomplete deep right intended for Jermichael Finley,2.000,1.290
1,4:08,3,2,GNB 46,3,0,"Aaron Rodgers sacked by Elvis Dumervil for -6 yards. Aaron Rodgers fumbles (forced by Elvis Dumervil), recovered by Don Barclay at GNB-40",1.290,-0.720
1,3:33,4,8,GNB 40,3,0,"Tim Masthay punts 60 yards, touchback",-0.720,-0.280
1,3:26,1,10,BAL 20,3,0,Bernard Pierce left tackle for -3 yards (tackle by B.J. Raji),0.280,-0.790
1,2:50,2,13,BAL 17,3,0,Joe Flacco pass incomplete deep right intended for Marlon Brown (defended by Davon House),-0.790,-1.510
1,2:44,3,13,BAL 17,3,0,Joe Flacco pass complete short middle to Tandon Doss for 6 yards (tackle by Morgan Burnett and Tramon Williams),-1.510,-1.830
1,2:06,4,7,BAL 23,3,0,"Sam Koch punts 54 yards, returned by Micah Hyde for 7 yards (tackle by Billy Bajema)",-1.830,-0.940
1,1:52,1,10,GNB 30,3,0,John Kuhn right guard for 2 yards (tackle by Terrell Suggs),0.940,0.660
1,1:28,2,8,GNB 32,3,0,Aaron Rodgers pass complete short middle to Johnathan Franklin for 7 yards (tackle by Corey Graham and Daryl Smith),0.660,0.660
1,0:40,2,8,GNB 32,3,0,Timeout #1 by Green Bay Packers,0.660,0.890
1,0:40,3,1,GNB 39,3,0,Johnathan Franklin right end for -3 yards (tackle by James Ihedigbo),0.890,-0.980
Quarter,Time,Down,ToGo,Location,GNB,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,4,GNB 36,3,0,"Tim Masthay punts 61 yards, returned by Tandon Doss for 38 yards (tackle by Johnathan Franklin)",-0.980,-1.660
2,14:45,1,10,BAL 41,3,0,Joe Flacco pass incomplete short left intended for Dallas Clark,1.660,1.120
2,14:41,2,10,BAL 41,3,0,"Penalty on Billy Bajema: False Start, 5 yards (no play)",1.120,0.450
2,14:41,2,15,BAL 36,3,0,"Joe Flacco pass complete short middle to Bernard Pierce for 7 yards (tackle by M.D. Jennings and A.J. Hawk). Penalty on Marshal Yanda: Illegal Use of Hands, 10 yards (no play)",0.450,-0.910
2,14:24,2,25,BAL 26,3,0,Joe Flacco pass complete short left to Bernard Pierce for 8 yards (tackle by Davon House and T.J. Lang),-0.910,-0.490
2,13:53,3,17,BAL 34,3,0,Joe Flacco pass complete short left to Bernard Pierce for 14 yards (tackle by M.D. Jennings),-0.490,-0.190
2,13:09,4,3,BAL 48,3,0,Sam Koch punts 46 yards,-0.190,0.380
2,12:57,1,10,GNB 6,3,0,Eddie Lacy right guard for 5 yards (tackle by Terrell Suggs and Elvis Dumervil),-0.380,-0.420
2,12:21,2,5,GNB 11,3,0,"Aaron Rodgers sacked by Elvis Dumervil for -5 yards. Aaron Rodgers fumbles (forced by Elvis Dumervil), recovered by Jarrett Boykin at GNB-6",-0.420,-1.420
2,11:35,3,10,GNB 6,3,0,Aaron Rodgers pass complete short right to Randall Cobb for 13 yards (tackle by Daryl Smith),-1.420,0.150
2,11:09,1,10,GNB 19,3,0,Aaron Rodgers pass incomplete short right intended for Jordy Nelson,0.150,-0.390
2,11:04,2,10,GNB 19,3,0,Eddie Lacy left guard for 3 yards (tackle by Terrell Suggs and Daryl Smith),-0.390,-0.680
2,10:18,3,7,GNB 22,3,0,Aaron Rodgers pass incomplete short right intended for Jarrett Boykin,-0.680,-1.900
2,10:14,4,7,GNB 22,3,0,"Tim Masthay punts 45 yards, returned by Jacoby Jones for no gain",-1.900,-1.140
2,10:02,1,10,BAL 33,3,0,Ray Rice right tackle for -3 yards (tackle by A.J. Hawk),1.140,0.190
2,9:31,2,13,BAL 30,3,0,Joe Flacco pass incomplete deep left intended for Torrey Smith,0.190,-0.490
2,9:25,3,13,BAL 30,3,0,Joe Flacco pass incomplete deep right intended for Torrey Smith (defended by Sam Shields),-0.490,-1.370
2,9:13,4,13,BAL 30,3,0,"Sam Koch punts 6 yards, muffed catch by John Kuhn, recovered by James Ihedigbo and returned for no gain",-1.370,1.660
2,9:13,1,10,BAL 41,3,0,Ray Rice left guard for no gain (tackle by Johnny Jolly and Ryan Pickett),1.660,1.120
2,8:30,2,10,BAL 41,3,0,Joe Flacco pass incomplete short left intended for Vonta Leach,1.120,0.430
2,8:23,3,10,BAL 41,3,0,Joe Flacco pass complete short left to Dallas Clark for 45 yards (tackle by Morgan Burnett),0.430,4.650
2,7:54,1,10,GNB 14,3,0,Joe Flacco right end for 6 yards (tackle by Micah Hyde),4.650,5.090
2,7:04,2,4,GNB 8,3,0,"Joe Flacco pass incomplete short left intended for Torrey Smith. Penalty on Sam Shields: Defensive Holding, 4 yards (no play)",5.090,6.280
2,6:57,1,4,GNB 4,3,0,Ray Rice right guard for 2 yards (tackle by Morgan Burnett and Johnny Jolly),6.280,5.720
2,6:19,2,2,GNB 2,3,0,Ray Rice right tackle for 1 yard (tackle by Morgan Burnett and Andy Mulumba),5.720,5.170
2,5:37,3,1,GNB 1,3,0,Ray Rice right end for no gain (tackle by Morgan Burnett and Nick Perry). Penalty on Ricky Wagner: Offensive Holding (Declined),5.170,3.550
2,5:22,4,1,GNB 1,3,0,Bernard Pierce left guard for no gain (tackle by Mike Daniels and Micah Hyde),3.550,0.380
2,5:16,1,10,GNB 1,3,0,Penalty on T.J. Lang: False Start (no play),-0.380,-0.380
2,5:16,1,10,GNB 1,3,0,Eddie Lacy right guard for no gain (tackle by Haloti Ngata and Daryl Smith),-0.380,-0.780
2,4:36,2,10,GNB 1,3,0,Aaron Rodgers pass incomplete short right intended for Jarrett Boykin,-0.780,-1.420
2,4:33,3,10,GNB 1,3,0,Aaron Rodgers pass incomplete deep middle intended for Jarrett Boykin,-1.420,-1.420
2,4:28,3,10,GNB 1,3,0,Timeout #2 by Green Bay Packers,-1.420,-2.490
2,4:24,4,10,GNB 1,3,0,"Tim Masthay punts 52 yards, fair catch by Tandon Doss",-2.490,-2.060
2,4:22,1,10,BAL 47,3,0,Bernard Pierce left end for 5 yards (tackle by Micah Hyde),2.060,2.190
2,3:50,2,5,GNB 48,3,0,Joe Flacco pass incomplete short right intended for Vonta Leach,2.190,1.490
