0,1
Game Info,Game Info
Won Toss,Ravens (deferred)
Roof,outdoors
Surface,sportturf
Duration,3:07
Attendance,71319
Weather,"61 degrees, relative humidity 83%, wind 10 mph, wind chill 0"
Vegas Line,Green Bay Packers -2.0
Over/Under,48.5 (under)
