Unnamed: 0,PHI,DAL
First Downs,16,23
Rush-Yds-TDs,28-115-0,36-189-3
Cmp-Att-Yd-TD-INT,16-26-191-1-1,21-27-239-1-1
Sacked-Yards,3-23,3-26
Net Pass Yards,168,213
Total Yards,283,402
Fumbles-Lost,4-3,1-0
Turnovers,4,1
Penalties-Yards,5-40,6-65
Third Down Conv.,3-9,8-14
Fourth Down Conv.,1-2,1-1
Time of Possession,27:38,32:22
