Quarter,Time,Down,ToGo,Location,PHI,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,DAL 35,0,0,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,PHI 25,0,0,Carson Wentz pass complete short right to Nelson Agholor for 6 yards (tackle by Chidobe Awuzie),0.610,0.870
1,14:27,2,4,PHI 31,0,0,Jordan Howard left guard for 3 yards (tackle by Byron Jones and Sean Lee),0.870,0.560
1,14:04,3,1,PHI 34,0,0,Carson Wentz up the middle for 1 yard (tackle by Maliek Collins),0.560,1.270
1,13:24,1,10,PHI 35,0,0,Carson Wentz pass incomplete deep right intended for Alshon Jeffery,1.270,0.720
1,13:18,2,10,PHI 35,0,0,"Carson Wentz pass complete short middle to Dallas Goedert for 8 yards (tackle by Jaylon Smith). Dallas Goedert fumbles (forced by Jaylon Smith), recovered by Maliek Collins at PHI-45 (tackle by Nelson Agholor)",0.720,-2.590
1,13:10,1,10,PHI 45,0,0,Dak Prescott pass complete short middle to Ezekiel Elliott for 7 yards (tackle by Brandon Graham and Kamu Grugier-Hill),2.590,2.990
1,12:30,2,3,PHI 38,0,0,Ezekiel Elliott left tackle for 2 yards (tackle by Rodney McLeod and T.J. Edwards),2.990,2.540
1,11:53,3,1,PHI 36,0,0,Dak Prescott up the middle for 8 yards (tackle by Orlando Scandrick),2.540,3.710
1,11:21,1,10,PHI 28,0,0,Ezekiel Elliott left tackle for 3 yards (tackle by Nathan Gerry),3.710,3.570
1,10:48,2,7,PHI 25,0,0,Dak Prescott pass complete short left to Ezekiel Elliott for 5 yards (tackle by Andrew Sendejo),3.570,3.530
1,10:17,3,2,PHI 20,0,6,"Tavon Austin right end for 20 yards, touchdown",3.530,7.000
1,10:08,,,PHI 15,0,7,Brett Maher kicks extra point good,0.000,0.000
1,10:08,,,DAL 35,0,7,"Brett Maher kicks off 67 yards, returned by Miles Sanders for 22 yards (tackle by Ventell Bryant). Penalty on Kamu Grugier-Hill: Offensive Holding, 10 yards",0.000,-0.380
1,10:03,1,10,PHI 10,0,7,Miles Sanders right end for 6 yards (tackle by Chidobe Awuzie and Maliek Collins),-0.380,-0.230
1,9:23,2,4,PHI 16,0,7,"Carson Wentz sacked by DeMarcus Lawrence for -7 yards. Carson Wentz fumbles (forced by DeMarcus Lawrence), recovered by Antwaun Woods at PHI-14 (tackle by Jason Kelce)",-0.230,-4.650
1,9:14,1,10,PHI 14,0,7,Ezekiel Elliott left tackle for 13 yards (tackle by Vinny Curry),4.650,6.970
1,9:00,1,1,PHI 1,0,13,"Ezekiel Elliott left tackle for 1 yard, touchdown",6.970,7.000
1,8:56,,,PHI 15,0,14,Brett Maher kicks extra point good,0.000,0.000
1,8:56,,,DAL 35,0,14,"Brett Maher kicks off 67 yards, returned by Miles Sanders for 15 yards (tackle by Ventell Bryant)",0.000,-0.320
1,8:51,1,10,PHI 13,0,14,Jordan Howard up the middle for 3 yards (tackle by Jeff Heath),-0.320,-0.440
1,8:08,2,7,PHI 16,0,14,Carson Wentz pass complete short left to Jordan Howard for -3 yards (tackle by Leighton Vander Esch),-0.440,-1.420
1,7:21,3,10,PHI 13,0,14,"Carson Wentz pass incomplete deep left intended for Alshon Jeffery. Penalty on Jaylon Smith: Roughing the Passer, 15 yards (no play)",-1.420,0.810
1,7:17,1,10,PHI 28,0,14,Jordan Howard up the middle for 16 yards (tackle by Jeff Heath),0.810,1.860
1,6:45,1,10,PHI 44,0,14,"Carson Wentz pass incomplete deep left intended for Alshon Jeffery. Penalty on Xavier Woods: Unnecessary Roughness, 15 yards (no play)",1.860,2.850
1,6:40,1,10,DAL 41,0,14,Jordan Howard up the middle for 7 yards (tackle by Sean Lee),2.850,3.250
1,6:02,2,3,DAL 34,0,14,Jordan Howard right end for 8 yards (tackle by Kerry Hyder and Jaylon Smith),3.250,3.840
1,5:25,1,10,DAL 26,0,14,Jordan Howard left guard for -2 yards (tackle by DeMarcus Lawrence),3.840,3.030
1,4:44,2,12,DAL 28,6,14,"Carson Wentz pass complete deep middle to Dallas Goedert for 28 yards, touchdown",3.030,7.000
1,4:38,,,DAL 15,7,14,Jake Elliott kicks extra point good,0.000,0.000
1,4:38,,,PHI 35,7,14,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,4:38,1,10,DAL 25,7,14,Dak Prescott pass incomplete short middle intended for Ezekiel Elliott,0.610,0.060
1,4:32,2,10,DAL 25,7,14,Ezekiel Elliott right guard for 2 yards (tackle by Vinny Curry),0.060,-0.360
1,3:55,3,8,DAL 27,7,14,Dak Prescott pass complete short right to Randall Cobb for 14 yards (tackle by Andrew Sendejo),-0.360,1.660
1,3:15,1,10,DAL 41,7,14,Ezekiel Elliott right guard for 9 yards (tackle by Jalen Mills and Malcolm Jenkins),1.660,2.340
1,2:43,2,1,DAL 50,7,14,Dak Prescott pass complete short right to Amari Cooper for 12 yards (tackle by Malcolm Jenkins). Penalty on Rasul Douglas: Defensive Holding (Declined),2.340,3.050
1,2:15,,,,,,Timeout #1 by Dallas Cowboys,,
1,2:15,1,10,PHI 38,7,14,Ezekiel Elliott up the middle for 3 yards (tackle by Nathan Gerry and Jalen Mills),3.050,2.910
1,1:41,2,7,PHI 35,7,14,Dak Prescott sacked by Derek Barnett for -6 yards,2.910,1.420
1,1:00,3,13,PHI 41,7,14,Dak Prescott pass incomplete short right,1.420,0.530
1,0:53,4,13,PHI 41,7,14,"Chris Jones punts 31 yards, fair catch by Boston Scott at PHI-10",0.530,0.380
1,0:46,1,10,PHI 10,7,14,Jordan Howard up the middle for 1 yard (tackle by DeMarcus Lawrence and Maliek Collins),-0.380,-0.710
Quarter,Time,Down,ToGo,Location,PHI,DAL,Detail,EPB,EPA
