Quarter,Time,Tm,Detail,NYJ,MIA
1.0,8:58,Jets,Leon Washington 18 yard rush (Mike Nugent kick),7,0
,3:15,Dolphins,Jay Feely 53 yard field goal,7,3
2.0,11:56,Dolphins,Jay Feely 44 yard field goal,7,6
,10:07,Jets,Mike Nugent 29 yard field goal,10,6
,6:41,Dolphins,Michael Lehan 43 yard defensive fumble return (Jay Feely kick),10,13
,2:39,Jets,Brad Smith 19 yard pass from Kellen Clemens (Mike Nugent kick),17,13
,0:10,Jets,Mike Nugent 40 yard field goal,20,13
3.0,5:54,Jets,Mike Nugent 35 yard field goal,23,13
4.0,14:21,Jets,Thomas Jones 1 yard rush (Mike Nugent kick),30,13
,11:48,Jets,Mike Nugent 26 yard field goal,33,13
,1:52,Jets,Leon Washington 12 yard rush (Mike Nugent kick),40,13
