Unnamed: 0,ATL,NOR
First Downs,11,23
Rush-Yds-TDs,28-168-1,36-210-2
Cmp-Att-Yd-TD-INT,8-27-80-0-2,21-38-228-0-2
Sacked-Yards,1-4,7-35
Net Pass Yards,76,193
Total Yards,244,403
Fumbles-Lost,2-1,4-2
Turnovers,3,4
Penalties-Yards,5-44,7-46
Third Down Conv.,1-12,5-15
Fourth Down Conv.,0-0,1-2
Time of Possession,24:22,39:37
