Quarter,Time,Down,ToGo,Location,CIN,SDG,Detail,EPB,EPA
2,12:44,1,10,SDG 35,7,10,Andy Dalton pass complete deep middle to A.J. Green for 16 yards (tackle by Takeo Spikes),3.250,4.310
2,12:12,1,10,SDG 19,7,10,Cedric Peerman right tackle for 2 yards (tackle by Corey Lynch),4.310,4.030
2,11:39,2,8,SDG 17,7,10,"Andy Dalton pass incomplete deep right intended for A.J. Green. Penalty on A.J. Green: Offensive Pass Interference, 10 yards (no play)",4.030,2.680
2,11:32,2,18,SDG 27,7,10,Andy Dalton pass complete short left to A.J. Green for 15 yards (tackle by Antoine Cason),2.680,4.190
2,10:48,3,3,SDG 12,7,10,Andy Dalton pass complete short left to Jermaine Gresham for 7 yards (tackle by Corey Lynch). Penalty on Marcus Gilchrist: Illegal Use of Hands (Declined),4.190,6.060
2,10:33,1,5,SDG 5,7,10,Andy Dalton pass incomplete short right intended for A.J. Green,6.060,5.150
2,10:27,2,5,SDG 5,7,10,BenJarvus Green-Ellis right guard for 4 yards (tackle by Corey Lynch and Takeo Spikes),5.150,5.170
2,9:49,3,1,SDG 1,7,10,Andy Dalton pass incomplete short right intended for A.J. Green (defended by Corey Lynch),5.170,3.550
2,9:41,4,1,SDG 1,10,10,Mike Nugent 19 yard field goal good,3.550,3.000
2,9:38,,,CIN 35,10,10,"Mike Nugent kicks off 74 yards, touchback",0.000,0.280
2,9:38,1,10,SDG 20,10,10,Philip Rivers pass complete short right to Danario Alexander for 16 yards (tackle by Chris Crocker and Reggie Nelson),0.280,1.330
2,8:55,1,10,SDG 36,10,10,Philip Rivers pass complete short left to Le'Ron McClain for -1 yards (tackle by Carlos Dunlap),1.330,0.660
2,8:11,2,11,SDG 35,10,10,Philip Rivers pass incomplete short right intended for Ryan Mathews,0.660,-0.030
2,8:06,3,11,SDG 35,10,10,Philip Rivers pass complete deep middle to Danario Alexander for 18 yards (tackle by Reggie Nelson),-0.030,2.460
2,7:22,1,10,CIN 47,10,10,"Ryan Mathews left end for 12 yards. Penalty on Randy McMichael: Offensive Holding, 10 yards (no play)",2.460,1.800
2,6:54,1,20,SDG 43,10,10,Philip Rivers pass incomplete,1.800,0.560
2,6:48,2,20,SDG 43,10,10,Ryan Mathews left guard for 3 yards (tackle by Rey Maualuga),0.560,0.300
2,6:02,3,17,SDG 46,10,10,Philip Rivers pass incomplete short right intended for Ronnie Brown (defended by Carlos Dunlap),0.300,-0.320
2,5:58,4,17,SDG 46,10,10,"Mike Scifres punts 43 yards, fair catch by Brandon Tate",-0.320,0.370
2,5:50,1,10,CIN 11,10,10,Andy Dalton pass complete short right to A.J. Green for 6 yards (tackle by Quentin Jammer),-0.370,-0.160
2,5:22,2,4,CIN 17,10,10,Andy Dalton pass complete short right to BenJarvus Green-Ellis for 2 yards (tackle by Eric Weddle),-0.160,-0.480
2,4:49,3,2,CIN 19,10,10,BenJarvus Green-Ellis right tackle for 9 yards (tackle by Quentin Jammer),-0.480,0.810
2,4:18,1,10,CIN 28,10,10,BenJarvus Green-Ellis up the middle for 2 yards (tackle by Melvin Ingram),0.810,0.530
2,3:44,2,8,CIN 30,10,10,Andy Dalton pass complete short left to A.J. Green for 9 yards (tackle by Antoine Cason),0.530,1.530
2,3:09,1,10,CIN 39,10,10,Andy Dalton pass complete short left to Marvin Jones for 16 yards (tackle by Marcus Gilchrist),1.530,2.590
2,2:43,1,10,SDG 45,10,10,Cedric Peerman right tackle for 2 yards (tackle by Marcus Gilchrist and Takeo Spikes),2.590,2.310
2,2:43,2,8,SDG 43,10,10,Andy Dalton pass complete short left to A.J. Green for 4 yards (tackle by Kendall Reyes),2.310,2.150
2,2:00,3,4,SDG 39,10,10,"Penalty on Andrew Whitworth: False Start, 5 yards (no play)",2.150,1.490
2,2:00,3,9,SDG 44,10,10,Andy Dalton pass incomplete short right intended for Brian Leonard,1.490,0.330
2,1:54,4,9,SDG 44,10,10,"Kevin Huber punts 30 yards, fair catch by Chris Carr",0.330,0.280
2,1:45,1,10,SDG 14,10,10,Philip Rivers pass incomplete. Penalty on SDG: Illegal Formation (Declined),-0.280,-0.750
2,1:37,2,10,SDG 14,10,10,Philip Rivers pass incomplete short left intended for Ryan Mathews,-0.750,-1.400
2,1:34,3,10,SDG 14,10,10,"Philip Rivers pass complete short left to Seyi Ajirotutu for 5 yards (tackle by Pacman Jones and Vontaze Burfict). Penalty on Michael Johnson: Defensive Offside, 5 yards (no play)",-1.400,-0.800
2,1:28,3,5,SDG 19,10,10,Philip Rivers pass complete short middle to Danario Alexander for 28 yards (tackle by Chris Crocker),-0.800,2.060
2,0:53,1,10,SDG 47,10,10,Philip Rivers pass incomplete short right intended for Danario Alexander,2.060,1.520
2,0:48,2,10,SDG 47,10,10,Philip Rivers pass complete short middle to Antonio Gates for 7 yards (tackle by Vontaze Burfict),1.520,0.000
2,0:42,,,,10,10,Timeout #2 by San Diego Chargers,0.000,1.750
2,0:42,3,3,CIN 46,10,10,"Penalty on Antonio Gates: False Start, 5 yards (no play)",1.750,1.090
2,0:42,3,8,SDG 49,10,10,"Penalty on Mike Harris: False Start, 5 yards (no play)",1.090,0.430
2,0:42,3,13,SDG 44,10,10,Philip Rivers pass complete deep left to Malcom Floyd for 24 yards (tackle by Reggie Nelson),0.430,3.450
2,0:36,1,10,CIN 32,10,10,Philip Rivers pass complete short right to Danario Alexander for 12 yards (tackle by Chris Crocker),3.450,4.240
2,0:18,1,10,CIN 20,10,10,Philip Rivers spiked the ball,4.240,3.690
2,0:17,2,10,CIN 20,10,10,Philip Rivers for 11 yards (tackle by Rey Maualuga),3.690,5.140
2,0:09,1,9,CIN 9,10,10,Philip Rivers pass complete short right to Ronnie Brown for 8 yards (tackle by Terence Newman and Vontaze Burfict),5.140,5.910
2,0:01,2,1,CIN 1,10,13,Nick Novak 19 yard field goal good,5.910,3.000
Quarter,Time,Down,ToGo,Location,CIN,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 35,10,13,"Mike Nugent kicks off 63 yards, returned by Chris Carr for 24 yards (tackle by Dan Skuta)",0.000,0.670
3,14:46,1,10,SDG 26,10,13,Ryan Mathews up the middle for no gain (tackle by Rey Maualuga),0.670,0.130
3,14:16,2,10,SDG 26,10,13,Philip Rivers pass complete short left to Antonio Gates for 3 yards (tackle by Leon Hall),0.130,-0.160
3,13:31,3,7,SDG 29,10,13,Philip Rivers pass incomplete short right intended for Antonio Gates,-0.160,-1.440
3,13:24,4,7,SDG 29,10,13,"Mike Scifres punts 55 yards, returned by Pacman Jones for 24 yards (tackle by Bront Bird)",-1.440,-1.600
3,13:10,1,10,CIN 40,10,13,Andy Dalton pass incomplete deep left intended for Andrew Hawkins (defended by Melvin Ingram),1.600,1.050
3,13:02,2,10,CIN 40,10,13,Andy Dalton pass complete short middle to A.J. Green for 16 yards (tackle by Quentin Jammer),1.050,2.650
3,12:37,1,10,SDG 44,10,13,BenJarvus Green-Ellis right tackle for 9 yards (tackle by Quentin Jammer),2.650,3.330
3,12:14,2,1,SDG 35,10,13,BenJarvus Green-Ellis up the middle for 2 yards (tackle by Corey Liuget),3.330,3.380
3,11:40,1,10,SDG 33,10,13,Andy Dalton pass incomplete,3.380,2.840
3,11:32,2,10,SDG 33,10,13,Andy Dalton pass incomplete short left intended for Andrew Hawkins,2.840,2.150
3,11:28,3,10,SDG 33,10,13,Andy Dalton pass incomplete deep middle intended for Marvin Jones is intercepted by Corey Lynch at SDG-12 and returned for 20 yards (tackle by Marvin Jones),2.150,-1.070
3,11:15,1,10,SDG 32,10,13,Philip Rivers pass complete short left to Ryan Mathews for 10 yards (tackle by Pat Sims and Wallace Gilberry),1.070,1.730
3,10:30,1,10,SDG 42,10,13,Philip Rivers pass incomplete short left intended for Danario Alexander,1.730,1.190
3,10:25,2,10,SDG 42,10,13,Philip Rivers sacked by Wallace Gilberry for -2 yards,1.190,0.230
3,9:45,3,12,SDG 40,10,13,Philip Rivers pass incomplete short left intended for Danario Alexander,0.230,-0.720
3,9:41,4,12,SDG 40,10,13,"Mike Scifres punts 39 yards, returned by Brandon Tate for 16 yards (tackle by Chris Carr)",-0.720,-1.400
3,9:30,1,10,CIN 37,10,13,BenJarvus Green-Ellis right end for -2 yards (tackle by Melvin Ingram),1.400,0.590
3,8:54,2,12,CIN 35,10,13,"Andy Dalton pass incomplete short middle intended for BenJarvus Green-Ellis. Penalty on Takeo Spikes: Personal Foul, 15 yards",0.590,2.260
3,8:44,1,10,,10,13,Andy Dalton pass complete short left to BenJarvus Green-Ellis for 2 yards (tackle by Marcus Gilchrist),2.260,1.980
3,8:05,2,8,SDG 48,10,13,"BenJarvus Green-Ellis left end for 3 yards (tackle by Demorrio Williams). Penalty on Melvin Ingram: Defensive Offside, 5 yards (no play)",1.980,2.660
3,7:42,2,3,SDG 43,10,13,"Andy Dalton pass complete short right to Jermaine Gresham for 1 yard (tackle by Takeo Spikes and Demorrio Williams). Jermaine Gresham fumbles (forced by Takeo Spikes), recovered by Quentin Jammer at SDG-39 (tackle by Clint Boling)",2.660,-1.530
3,7:34,1,10,SDG 39,10,13,Ryan Mathews left end for 4 yards (tackle by Michael Johnson),1.530,1.530
3,6:54,2,6,SDG 43,10,13,Philip Rivers up the middle for 9 yards (tackle by Chris Crocker),1.530,2.390
3,6:08,1,10,CIN 48,10,13,Philip Rivers pass incomplete short left intended for Ryan Mathews,2.390,1.850
3,6:03,2,10,CIN 48,10,13,Philip Rivers pass complete short left to Le'Ron McClain for 12 yards (tackle by Michael Johnson and Vontaze Burfict),1.850,3.180
3,5:17,1,10,CIN 36,10,13,Philip Rivers pass incomplete short right intended for Randy McMichael,3.180,2.640
3,5:10,2,10,CIN 36,10,13,"Philip Rivers pass incomplete short left intended for Antonio Gates. Penalty on Pat Sims: Defensive Offside, 5 yards (no play)",2.640,3.310
3,5:06,2,5,CIN 31,10,13,Philip Rivers pass complete short left to Antonio Gates for 6 yards (tackle by Vontaze Burfict),3.310,3.910
3,4:26,1,10,CIN 25,10,13,Ryan Mathews right tackle for 2 yards (tackle by Domata Peko and Carlos Dunlap),3.910,3.630
3,3:42,2,8,CIN 23,10,13,Philip Rivers sacked by Geno Atkins and Domata Peko for -8 yards,3.630,1.880
3,3:10,3,16,CIN 31,10,13,"Penalty on Philip Rivers: Delay of Game, 5 yards (no play)",1.880,1.220
3,2:50,3,21,CIN 36,10,13,Philip Rivers pass incomplete,1.220,0.880
3,2:41,4,21,CIN 36,10,13,Nick Novak 54 yard field goal no good,0.880,-1.860
3,2:36,1,10,CIN 44,10,13,Andy Dalton pass complete short right to BenJarvus Green-Ellis for 1 yard (tackle by Melvin Ingram),1.860,1.450
3,2:00,2,9,CIN 45,10,13,Andy Dalton pass complete short middle to Andrew Hawkins for 7 yards (tackle by Demorrio Williams),1.450,1.690
3,1:32,3,2,SDG 48,10,13,BenJarvus Green-Ellis right tackle for -1 yards (tackle by Quentin Jammer and Corey Lynch),1.690,0.000
3,0:57,4,3,SDG 49,10,13,Kevin Huber punts 45 yards,0.000,0.380
3,0:45,1,10,SDG 4,10,13,Ryan Mathews left tackle for 1 yard (tackle by Pat Sims and Rey Maualuga),-0.380,-0.710
3,0:04,2,9,SDG 5,10,13,Philip Rivers pass complete short right to Antonio Gates for 5 yards (tackle by Rey Maualuga),-0.710,-0.720
Quarter,Time,Down,ToGo,Location,CIN,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,4,SDG 10,10,13,Philip Rivers pass complete short right to Ronnie Brown for -3 yards (tackle by Reggie Nelson),-0.720,-2.490
4,14:26,4,7,SDG 7,10,13,"Mike Scifres punts 53 yards, returned by Pacman Jones for 15 yards (tackle by Melvin Ingram). Penalty on Manny Lawson: Illegal Block Above the Waist, 10 yards",-2.490,-1.930
4,14:12,1,10,CIN 45,10,13,BenJarvus Green-Ellis up the middle for 6 yards (tackle by Melvin Ingram),1.930,2.190
4,13:53,2,4,SDG 49,10,13,Andy Dalton pass incomplete deep right intended for A.J. Green,2.190,1.490
4,13:46,3,4,SDG 49,10,13,Andy Dalton sacked by Shareece Wright and Corey Liuget for 0 yards,1.490,0.000
4,13:04,4,4,SDG 49,10,13,"Kevin Huber punts 39 yards, fair catch by Chris Carr",0.000,0.380
4,12:59,1,10,SDG 10,10,13,Ryan Mathews up the middle for 5 yards (tackle by Pat Sims and Vontaze Burfict),-0.380,-0.350
4,12:18,2,5,SDG 15,10,13,Philip Rivers pass incomplete short left intended for Malcom Floyd,-0.350,-0.840
4,12:12,3,5,SDG 15,10,13,Philip Rivers pass incomplete short right intended for Ronnie Brown,-0.840,-2.440
4,12:06,4,5,SDG 15,10,13,Mike Scifres punts 40 yards,-2.440,-1.930
4,11:53,1,10,CIN 45,10,13,Andy Dalton pass complete short left to A.J. Green for 8 yards (tackle by Antoine Cason),1.930,2.460
4,11:29,2,2,SDG 47,10,13,BenJarvus Green-Ellis up the middle for 1 yard (tackle by Takeo Spikes and Corey Liuget),2.460,1.880
4,10:50,3,1,SDG 46,10,13,BenJarvus Green-Ellis up the middle for 2 yards (tackle by Corey Liuget),1.880,2.650
4,10:10,1,10,SDG 44,10,13,"BenJarvus Green-Ellis right end for 4 yards (tackle by Quentin Jammer and Melvin Ingram). Penalty on Jermaine Gresham: Offensive Holding, 10 yards",2.650,2.260
4,9:46,1,16,,10,13,Andy Dalton pass complete short right to Jermaine Gresham for 8 yards (tackle by Marcus Gilchrist),2.260,2.380
4,9:13,2,8,SDG 42,10,13,Andy Dalton pass complete short right to A.J. Green for 7 yards (tackle by Demorrio Williams),2.380,2.610
4,8:44,3,1,SDG 35,10,13,Andy Dalton up the middle for 1 yard (tackle by Larry English),2.610,3.310
4,8:01,1,10,SDG 34,10,13,BenJarvus Green-Ellis right end for 7 yards (tackle by Antonio Garay and Demorrio Williams),3.310,3.720
4,7:27,2,3,SDG 27,10,13,BenJarvus Green-Ellis right end for 7 yards (tackle by Corey Lynch and Kendall Reyes),3.720,4.240
4,6:58,1,10,SDG 20,10,13,BenJarvus Green-Ellis up the middle for 1 yard (tackle by Larry English),4.240,3.820
4,6:22,2,9,SDG 19,10,13,Andy Dalton pass complete short left to Marvin Jones for 4 yards (tackle by Marcus Gilchrist),3.820,3.700
4,5:42,3,5,SDG 15,10,13,Andy Dalton pass complete short middle to Andrew Hawkins for 9 yards (tackle by Antoine Cason),3.700,5.830
4,4:56,1,6,SDG 6,10,13,"BenJarvus Green-Ellis left end for no gain (tackle by Jonas Mouton). Penalty on Dennis Roland: Illegal Formation, 5 yards (no play)",5.830,4.770
4,4:52,1,11,SDG 11,10,13,BenJarvus Green-Ellis up the middle for 5 yards (tackle by Corey Liuget and Takeo Spikes),4.770,4.950
4,4:17,2,6,SDG 6,16,13,"Andy Dalton up the middle for 6 yards, touchdown",4.950,7.000
4,4:17,,,SDG 2,17,13,Mike Nugent kicks extra point good,0.000,0.000
4,4:11,,,CIN 35,17,13,"Mike Nugent kicks off 66 yards, returned by Chris Carr for 26 yards (tackle by Reggie Nelson)",0.000,0.000
4,4:05,,,,17,13,Timeout #1 by Cincinnati Bengals,0.000,0.610
4,4:05,1,10,SDG 25,17,13,Philip Rivers pass incomplete short left intended for Ryan Mathews,0.610,0.060
4,4:01,2,10,SDG 25,17,13,"Philip Rivers sacked by Carlos Dunlap for -10 yards. Philip Rivers fumbles (forced by Carlos Dunlap), recovered by Carlos Dunlap at SDG-15 and returned for 2 yards (tackle by Rex Hadnot)",0.060,-4.710
4,3:54,1,10,SDG 13,17,13,BenJarvus Green-Ellis right end for 1 yard (tackle by Brandon Taylor),4.710,4.220
4,3:14,2,9,SDG 12,17,13,BenJarvus Green-Ellis right end for -1 yards (tackle by Corey Lynch),4.220,0.000
4,3:08,,,,17,13,Timeout #1 by San Diego Chargers,0.000,3.120
4,3:08,3,10,SDG 13,17,13,"Andy Dalton pass complete short left to Andrew Hawkins for 7 yards (tackle by Shareece Wright). Andrew Hawkins fumbles (forced by Shareece Wright), ball out of bounds at SDG-6",3.120,3.010
4,2:50,4,3,SDG 6,20,13,Mike Nugent 24 yard field goal good,3.010,3.000
4,2:47,,,CIN 35,20,13,"Mike Nugent kicks off 64 yards, touchback",0.000,0.280
4,2:47,1,10,SDG 20,20,13,Philip Rivers pass complete short middle to Ronnie Brown for 14 yards (tackle by Michael Johnson),0.280,1.200
4,2:22,1,10,SDG 34,20,13,Philip Rivers pass incomplete short middle intended for Antonio Gates,1.200,0.660
4,2:18,2,10,SDG 34,20,13,Philip Rivers pass incomplete short middle intended for Ronnie Brown,0.660,-0.030
4,2:12,3,10,SDG 34,20,13,Philip Rivers pass complete short right to Danario Alexander for 17 yards (tackle by Terence Newman and Chris Crocker),-0.030,2.320
4,2:00,1,10,CIN 49,20,13,"Philip Rivers pass complete short left to Ronnie Brown for 3 yards (tackle by Vontaze Burfict). Penalty on Pacman Jones: Defensive Holding, 5 yards (no play)",2.320,2.650
4,1:53,1,10,CIN 44,20,13,Philip Rivers pass complete short right to Danario Alexander for 11 yards (tackle by Rey Maualuga),2.650,3.380
4,1:16,1,10,CIN 33,20,13,Philip Rivers pass complete deep right to Malcom Floyd for 16 yards,3.380,4.440
4,1:11,1,10,CIN 17,20,13,Philip Rivers pass incomplete short left intended for Malcom Floyd,4.440,3.850
4,1:05,2,10,CIN 17,20,13,Philip Rivers pass incomplete deep left intended for Danario Alexander,3.850,3.070
4,1:01,3,10,CIN 17,20,13,Philip Rivers pass incomplete deep right intended for Ronnie Brown,3.070,0.000
4,0:55,,,,20,13,Timeout #2 by San Diego Chargers,0.000,2.310
4,0:55,4,10,CIN 17,20,13,Philip Rivers pass incomplete deep right intended for Malcom Floyd is intercepted by Reggie Nelson at CIN-0,2.310,-0.280
4,0:49,1,10,CIN 20,20,13,Andy Dalton kneels for -1 yards,0.280,-0.460
4,0:09,2,11,CIN 19,20,13,Andy Dalton kneels for -1 yards,-0.460,-1.330
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
