Quarter,Time,Tm,Detail,CIN,SDG
1.0,7:39,Bengals,Jermaine Gresham 19 yard pass from Andy Dalton (Mike Nugent kick),7,0
2.0,14:57,Chargers,Nick Novak 20 yard field goal,7,3
,14:09,Chargers,Demorrio Williams 31 yard interception return (Nick Novak kick),7,10
,9:38,Bengals,Mike Nugent 19 yard field goal,10,10
,0:00,Chargers,Nick Novak 19 yard field goal,10,13
4.0,4:11,Bengals,Andy Dalton 6 yard rush (Mike Nugent kick),17,13
,2:47,Bengals,Mike Nugent 24 yard field goal,20,13
