Quarter,Time,Down,ToGo,Location,NYJ,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss and deferred, Texans to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,HOU 20,0,0,Alfred Blue left guard for 1 yard (tackle by Leonard Williams and Damon Harrison),0.280,-0.130
1,14:25,2,9,HOU 21,0,0,T.J. Yates pass complete short left to Jonathan Grimes for 5 yards (tackle by Demario Davis),-0.130,-0.160
1,13:45,3,4,HOU 26,0,0,T.J. Yates pass complete short right to DeAndre Hopkins for 5 yards (tackle by Darrelle Revis),-0.160,1.000
1,13:00,1,10,HOU 31,0,0,T.J. Yates pass incomplete deep right intended for DeAndre Hopkins,1.000,0.460
1,12:52,2,10,HOU 31,0,0,T.J. Yates pass incomplete short middle intended for Cecil Shorts (defended by David Harris),0.460,-0.230
1,12:46,3,10,HOU 31,0,0,T.J. Yates pass incomplete short left intended for Cecil Shorts,-0.230,-1.310
1,12:41,4,10,HOU 31,0,0,"Shane Lechler punts 49 yards, returned by Jeremy Kerley for 4 yards (tackle by Brian Peters)",-1.310,-0.540
1,12:28,1,10,NYJ 24,0,0,Ryan Fitzpatrick pass complete short right to Chris Ivory for 9 yards (tackle by Whitney Mercilus and Jared Crick),0.540,1.210
1,11:50,2,1,NYJ 33,0,0,Bilal Powell middle for 5 yards (tackle by Benardrick McKinney and Quintin Demps),1.210,1.470
1,11:11,1,10,NYJ 38,0,0,Ryan Fitzpatrick pass complete short left to Brandon Marshall for 8 yards (tackle by Kevin Johnson),1.470,2.000
1,10:40,2,2,NYJ 46,0,0,Stevan Ridley middle for 7 yards (tackle by Quintin Demps),2.000,2.460
1,10:06,1,10,HOU 47,0,0,Stevan Ridley left guard for -2 yards (tackle by J.J. Watt),2.460,1.640
1,9:21,2,12,HOU 49,0,0,"Stevan Ridley left tackle for no gain (tackle by Whitney Mercilus). Penalty on J.J. Watt: Defensive Offside, 5 yards (no play)",1.640,2.320
1,8:46,2,7,HOU 44,0,0,Ryan Fitzpatrick pass complete short left to Stevan Ridley for -5 yards (tackle by Brian Cushing),2.320,0.960
1,8:04,3,12,HOU 49,0,0,Ryan Fitzpatrick pass incomplete short left intended for Bilal Powell,0.960,0.000
1,8:00,4,12,HOU 49,0,0,"Ryan Quigley punts 49 yards, touchback",0.000,-0.280
1,7:53,1,10,HOU 20,0,0,Alfred Blue middle for 2 yards (tackle by Calvin Pryor),0.280,0.000
1,7:22,2,8,HOU 22,0,0,Jonathan Grimes right end for 13 yards (tackle by David Harris and Demario Davis),0.000,1.270
1,6:44,1,10,HOU 35,0,0,Jonathan Grimes right end for 3 yards (tackle by Damon Harrison),1.270,1.130
1,6:14,2,7,HOU 38,0,0,T.J. Yates pass complete short middle to Alfred Blue for 10 yards (tackle by David Harris and Demario Davis),1.130,2.130
1,5:41,1,10,HOU 48,0,0,Alfred Blue middle for 3 yards (tackle by David Harris and Leonard Williams),2.130,1.990
1,5:03,2,7,NYJ 49,0,0,T.J. Yates pass complete short left to DeAndre Hopkins for 14 yards (tackle by Darrelle Revis),1.990,3.250
1,4:30,1,10,NYJ 35,0,0,Alfred Blue right guard for 3 yards (tackle by Leonard Williams),3.250,3.110
1,3:55,2,7,NYJ 32,0,0,Jay Prosch middle for 3 yards (tackle by Calvin Pryor),3.110,2.810
1,3:17,3,4,NYJ 29,0,0,Cecil Shorts for 12 yards (tackle by Marcus Gilchrist and Buster Skrine),2.810,4.440
1,2:38,1,10,NYJ 17,0,0,T.J. Yates pass complete short left to Jonathan Grimes for 4 yards (tackle by Demario Davis),4.440,4.500
1,1:58,2,6,NYJ 13,0,0,Alfred Blue middle for 3 yards (tackle by Marcus Gilchrist and Leger Douzable),4.500,4.340
