Quarter,Time,Tm,Detail,SDG,DEN
1.0,11:05,Broncos,Brandon McManus 28 yard field goal,0,3
,7:24,Chargers,Antonio Gates 7 yard pass from Philip Rivers (Josh Lambo kick),7,3
2.0,9:10,Broncos,Bradley Roby 51 yard interception return (Brandon McManus kick),7,10
3.0,12:45,Broncos,Devontae Booker 3 yard rush (Brandon McManus kick),7,17
,4:02,Chargers,Travis Benjamin 14 yard pass from Philip Rivers (Josh Lambo kick failed),13,17
4.0,12:32,Broncos,Juwan Thompson 1 yard rush (Brandon McManus kick),13,24
,8:02,Chargers,Casey Hayward 24 yard interception return (pass failed),19,24
,5:19,Broncos,Brandon McManus 22 yard field goal,19,27
