Unnamed: 0,SDG,DEN
First Downs,21,15
Rush-Yds-TDs,26-123-0,25-57-2
Cmp-Att-Yd-TD-INT,20-47-267-2-3,20-38-276-0-1
Sacked-Yards,4-21,1-9
Net Pass Yards,246,267
Total Yards,369,324
Fumbles-Lost,0-0,4-2
Turnovers,3,3
Penalties-Yards,8-52,6-45
Third Down Conv.,7-17,5-15
Fourth Down Conv.,0-2,0-1
Time of Possession,33:08,26:52
