Unnamed: 0,KAN,DEN
First Downs,17,24
Rush-Yds-TDs,22-101-2,33-177-2
Cmp-Att-Yd-TD-INT,17-25-213-1-0,24-40-254-0-2
Sacked-Yards,4-28,3-20
Net Pass Yards,185,234
Total Yards,286,411
Fumbles-Lost,2-1,4-2
Turnovers,1,4
Penalties-Yards,1-15,5-34
Third Down Conv.,0-8,5-14
Fourth Down Conv.,0-0,0-2
Time of Possession,26:36,33:24
