Quarter,Time,Tm,Detail,KAN,DEN
1.0,9:08,Chiefs,Clyde Edwards-Helaire 11 yard rush (Harrison Butker kick),7,0
,6:04,Broncos,Drew Lock 2 yard rush (Brandon McManus kick failed),7,6
,2:04,Chiefs,Harrison Butker 40 yard field goal,10,6
2.0,9:18,Chiefs,Daniel Sorensen 50 yard interception return (Harrison Butker kick),17,6
,5:49,Broncos,Brandon McManus 43 yard field goal,17,9
,5:35,Chiefs,Byron Pringle 102 yard kickoff return (Harrison Butker kick),24,9
3.0,10:21,Chiefs,Harrison Butker 31 yard field goal,27,9
,2:00,Chiefs,Harrison Butker 26 yard field goal,30,9
4.0,11:15,Chiefs,Tyreek Hill 10 yard pass from Patrick Mahomes (Harrison Butker kick),37,9
,6:54,Broncos,Melvin Gordon 3 yard rush (Brandon McManus kick),37,16
,2:58,Chiefs,Chad Henne 1 yard rush (Harrison Butker kick failed),43,16
