Quarter,Time,Tm,Detail,IND,LVR
1.0,3:17,Colts,Matt Ryan 1 yard rush (Chase McLaughlin kick),7,0
2.0,12:38,Colts,Chase McLaughlin 48 yard field goal,10,0
,0:58,Raiders,Foster Moreau 4 yard pass from Derek Carr (Daniel Carlson kick),10,7
,0:00,Colts,Chase McLaughlin 48 yard field goal,13,7
3.0,1:51,Raiders,Josh Jacobs 1 yard rush (Daniel Carlson kick),13,14
,1:01,Colts,Jonathan Taylor 66 yard rush (pass failed),19,14
4.0,11:36,Raiders,Davante Adams 48 yard pass from Derek Carr (pass failed),19,20
,5:07,Colts,Parris Campbell 35 yard pass from Matt Ryan (pass failed),25,20
