Unnamed: 0,IND,LVR
First Downs,20,18
Rush-Yds-TDs,30-207-2,24-77-1
Cmp-Att-Yd-TD-INT,21-28-222-1-0,24-38-248-2-0
Sacked-Yards,1-14,2-16
Net Pass Yards,208,232
Total Yards,415,309
Fumbles-Lost,2-1,0-0
Turnovers,1,0
Penalties-Yards,4-25,10-74
Third Down Conv.,6-11,5-13
Fourth Down Conv.,0-0,1-3
Time of Possession,29:01,30:59
