Quarter,Time,Tm,Detail,SEA,TEN
1.0,11:35,Seahawks,Jerramy Stevens 22 yard pass from Matt Hasselbeck (Josh Brown kick),7,0
,5:54,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),14,0
2.0,6:05,Titans,Jarrett Payton 3 yard rush (Rob Bironas kick),14,7
,0:04,Titans,Drew Bennett 4 yard pass from Steve McNair (Rob Bironas kick),14,14
3.0,10:55,Titans,Drew Bennett 14 yard pass from Steve McNair (Rob Bironas kick),14,21
,6:14,Titans,Rob Bironas 38 yard field goal,14,24
,4:51,Seahawks,Joe Jurevicius 4 yard pass from Matt Hasselbeck (Josh Brown kick),21,24
4.0,8:59,Seahawks,Darrell Jackson 2 yard pass from Matt Hasselbeck (Josh Brown kick),28,24
