Unnamed: 0,DEN,SDG
First Downs,20,25
Rush-Yds-TDs,27-156-2,38-220-3
Cmp-Att-Yd-TD-INT,22-39-288-1-2,27-41-217-0-0
Sacked-Yards,4-27,1-3
Net Pass Yards,261,214
Total Yards,417,434
Fumbles-Lost,2-1,0-0
Turnovers,3,0
Penalties-Yards,9-57,1-5
Third Down Conv.,2-13,7-18
Fourth Down Conv.,1-1,0-1
Time of Possession,32:13,39:46
