Quarter,Time,Tm,Detail,DEN,SDG
1,6:44,Broncos,Jason Elam 54 yard field goal,3,0
,0:20,Broncos,Clinton Portis 43 yard rush (Jason Elam kick),10,0
2,14:56,Chargers,LaDainian Tomlinson 3 yard rush (Steve Christie kick),10,7
,9:26,Chargers,LaDainian Tomlinson 1 yard rush (Steve Christie kick),10,14
,4:38,Chargers,LaDainian Tomlinson 5 yard rush (Steve Christie kick),10,21
,3:08,Broncos,Clinton Portis 8 yard rush (Jason Elam kick),17,21
,0:07,Chargers,Steve Christie 20 yard field goal,17,24
3,9:39,Broncos,Reuben Droughns 22 yard pass from Steve Beuerlein (Jason Elam kick),24,24
4,13:12,Chargers,Steve Christie 40 yard field goal,24,27
,1:39,Broncos,Jason Elam 24 yard field goal,27,27
OT,3:01,Chargers,Steve Christie 27 yard field goal,27,30
