Unnamed: 0,DAL,ARI
First Downs,26,20
Rush-Yds-TDs,33-185-0,30-222-2
Cmp-Att-Yd-TD-INT,25-40-249-1-1,17-21-189-1-0
Sacked-Yards,2-18,2-11
Net Pass Yards,231,178
Total Yards,416,400
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,13-107,8-69
Third Down Conv.,9-16,5-10
Fourth Down Conv.,0-1,0-0
Time of Possession,34:33,25:27
