Quarter,Time,Tm,Detail,DAL,ARI
1.0,12:31,Cardinals,Matt Prater 39 yard field goal,0,3
,6:12,Cardinals,James Conner 5 yard rush (run failed),0,9
,1:48,Cowboys,Brandon Aubrey 49 yard field goal,3,9
2.0,12:31,Cardinals,Rondale Moore 45 yard rush (pass failed),3,15
,5:32,Cowboys,Rico Dowdle 15 yard pass from Dak Prescott (Brandon Aubrey kick),10,15
,1:28,Cardinals,Matt Prater 43 yard field goal,10,18
,0:00,Cardinals,Matt Prater 62 yard field goal,10,21
3.0,9:27,Cowboys,Brandon Aubrey 27 yard field goal,13,21
4.0,9:33,Cowboys,Brandon Aubrey 26 yard field goal,16,21
,7:22,Cardinals,Marquise Brown 2 yard pass from Joshua Dobbs (Matt Prater kick),16,28
