Quarter,Time,Tm,Detail,TEN,SDG
1.0,9:37,Titans,Rob Bironas 30 yard field goal,3,0
2.0,0:00,Titans,Rob Bironas 44 yard field goal,6,0
3.0,9:41,Chargers,Nate Kaeding 20 yard field goal,6,3
,2:35,Chargers,Vincent Jackson 25 yard pass from Philip Rivers (Nate Kaeding kick),6,10
4.0,8:45,Chargers,LaDainian Tomlinson 1 yard rush (Nate Kaeding kick),6,17
