Unnamed: 0,TEN,SDG
First Downs,15,17
Rush-Yds-TDs,30-119-0,32-68-1
Cmp-Att-Yd-TD-INT,16-29-138-0-1,19-30-292-1-1
Sacked-Yards,3-9,1-10
Net Pass Yards,129,282
Total Yards,248,350
Fumbles-Lost,1-1,1-0
Turnovers,2,1
Penalties-Yards,6-38,5-53
Third Down Conv.,9-16,8-15
Fourth Down Conv.,0-0,1-1
Time of Possession,27:41,32:19
