Unnamed: 0,DAL,DET
First Downs,26,19
Rush-Yds-TDs,24-75-1,28-121-2
Cmp-Att-Yd-TD-INT,29-46-444-3-0,15-26-209-2-0
Sacked-Yards,1-10,3-18
Net Pass Yards,434,191
Total Yards,509,312
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,6-45,11-89
Third Down Conv.,8-14,6-13
Fourth Down Conv.,0-0,0-0
Time of Possession,30:54,29:06
