Quarter,Time,Tm,Detail,DAL,DET
1.0,12:33,Lions,Bo Scarbrough 5 yard rush (Matt Prater kick),0,7
,2:18,Cowboys,Brett Maher 30 yard field goal,3,7
2.0,14:10,Cowboys,Tony Pollard 21 yard pass from Dak Prescott (Brett Maher kick),10,7
,7:46,Lions,Jeff Driskel 2 yard rush (Matt Prater kick),10,14
,4:37,Cowboys,Ezekiel Elliott 1 yard rush (Brett Maher kick),17,14
,0:27,Cowboys,Randall Cobb 19 yard pass from Dak Prescott (Brett Maher kick),24,14
3.0,9:15,Lions,Marvin Jones 11 yard pass from Jeff Driskel (Matt Prater kick),24,21
,5:00,Cowboys,Brett Maher 34 yard field goal,27,21
4.0,7:56,Cowboys,Ezekiel Elliott 17 yard pass from Dak Prescott (Tony Pollard run),35,21
,5:49,Lions,Marvin Jones 25 yard pass from Jeff Driskel (pass failed),35,27
