Unnamed: 0,NOR,CAR
First Downs,27,23
Rush-Yds-TDs,27-163-2,41-219-3
Cmp-Att-Yd-TD-INT,31-49-325-1-2,14-20-253-1-0
Sacked-Yards,1-2,1-9
Net Pass Yards,323,244
Total Yards,486,463
Fumbles-Lost,1-0,1-1
Turnovers,2,1
Penalties-Yards,2-23,4-34
Third Down Conv.,7-13,6-12
Fourth Down Conv.,0-1,0-1
Time of Possession,30:24,29:36
