Quarter,Time,Down,ToGo,Location,DEN,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Brandon McManus kicks off 65 yards, returned by DeeJay Dallas for 30 yards (tackle by Caden Sterns)",0.000,0.940
1,14:54,1,10,SEA 30,0,0,Rashaad Penny right end for no gain (tackle by Alex Singleton),0.940,0.390
1,14:17,2,10,SEA 30,0,0,Geno Smith pass complete short right to D.K. Metcalf for 7 yards (tackle by Patrick Surtain and Justin Simmons),0.390,0.630
1,13:38,3,3,SEA 37,0,0,Geno Smith pass complete short middle to Tyler Lockett for 17 yards (tackle by Kareem Jackson),0.630,2.520
1,13:02,1,10,DEN 46,0,0,"Penalty on Phil Haynes: False Start, 5 yards (accepted) (no play)",2.520,2.190
1,12:52,1,15,SEA 49,0,0,Geno Smith pass complete short right to D.K. Metcalf for 9 yards (tackle by Patrick Surtain),2.190,2.520
1,12:19,2,6,DEN 42,0,0,Rashaad Penny left guard for 4 yards (tackle by Bradley Chubb and Mike Purcell),2.520,2.350
1,11:37,3,2,DEN 38,0,6,"Geno Smith pass complete short left to Will Dissly for 38 yards, touchdown",2.350,7.000
1,11:26,,,DEN 15,0,7,Jason Myers kicks extra point good,0.000,0.000
1,11:26,,,SEA 35,0,7,"Jason Myers kicks off 68 yards, returned by Montrell Washington for 14 yards (tackle by Tanner Muse)",0.000,-0.370
1,11:21,1,10,DEN 11,0,7,Russell Wilson pass incomplete short left intended for Andrew Beck,-0.370,-0.780
1,11:18,2,10,DEN 11,0,7,Russell Wilson pass complete short right to Andrew Beck for 25 yards (tackle by Michael Jackson),-0.780,1.330
1,10:26,1,10,DEN 36,0,7,Javonte Williams right end for 9 yards (tackle by Cody Barton),1.330,2.010
1,9:43,2,1,DEN 45,0,7,Russell Wilson pass complete deep right to Andrew Beck for 27 yards (tackle by Jordyn Brooks),2.010,3.710
1,9:04,1,10,SEA 28,0,7,Javonte Williams right end for 10 yards (tackle by Jamal Adams),3.710,4.370
1,8:34,1,10,SEA 18,0,7,Russell Wilson pass incomplete short right intended for Javonte Williams (defended by Jamal Adams),4.370,3.800
1,8:25,2,10,SEA 18,0,7,"Penalty on Cameron Fleming: False Start, 5 yards (accepted) (no play)",3.800,3.150
1,8:25,2,15,SEA 23,0,7,Melvin Gordon right guard for 5 yards (tackle by Shelby Harris and Justin Coleman),3.150,3.050
1,7:41,3,10,SEA 18,0,7,Russell Wilson pass complete short middle to Melvin Gordon for 6 yards (tackle by Justin Coleman),3.050,2.710
1,6:59,4,4,SEA 12,3,7,Brandon McManus 30 yard field goal good,2.710,3.000
1,6:55,,,DEN 35,3,7,"Brandon McManus kicks off 61 yards, returned by DeeJay Dallas for 17 yards (tackle by Aaron Patrick and Tyrie Cleveland)",0.000,0.340
1,6:48,1,10,SEA 21,3,7,"Geno Smith pass incomplete deep right intended for Will Dissly. Penalty on Ronald Darby: Defensive Pass Interference, 21 yards (accepted) (no play)",0.340,1.730
1,6:40,1,10,SEA 42,3,7,"Geno Smith pass complete short middle to Noah Fant for 13 yards (tackle by Alex Singleton and Justin Simmons). Penalty on Kareem Jackson: Unnecessary Roughness / Defense, 15 yards (accepted)",1.730,3.580
1,6:19,1,10,DEN 30,3,7,Travis Homer right guard for 2 yards (tackle by Alex Singleton and DeShawn Williams),3.580,3.300
1,5:33,2,8,DEN 28,3,7,Rashaad Penny left guard for 12 yards (tackle by Justin Simmons and Kareem Jackson),3.300,4.510
1,4:49,1,10,DEN 16,3,7,Rashaad Penny up the middle for 4 yards (tackle by Alex Singleton and DeShawn Williams),4.510,4.570
1,4:10,2,6,DEN 12,3,7,Geno Smith pass complete short right to Rashaad Penny for 4 yards (tackle by Kareem Jackson),4.570,4.620
1,3:30,3,2,DEN 8,3,7,Geno Smith pass complete short right to Noah Fant for 1 yard (tackle by Jonas Griffith),4.620,3.010
1,3:00,4,1,DEN 7,3,7,Geno Smith up the middle for no gain (tackle by Dre'Mont Jones and Justin Simmons),3.010,0.380
1,2:55,1,10,DEN 7,3,7,Javonte Williams right tackle for 13 yards (tackle by Jamal Adams),-0.380,0.280
1,2:16,1,10,DEN 20,3,7,Russell Wilson pass complete short right to Albert Okwuegbunam for 12 yards (tackle by Jamal Adams),0.280,1.070
1,1:34,1,10,DEN 32,3,7,Russell Wilson pass complete short middle to Albert Okwuegbunam for 7 yards (tackle by Justin Coleman and Jordyn Brooks),1.070,1.470
1,0:54,2,3,DEN 39,3,7,Melvin Gordon left guard for 8 yards (tackle by Jordyn Brooks and Quandre Diggs),1.470,2.060
1,0:09,1,10,DEN 47,3,7,"Penalty on Garett Bolles: False Start, 5 yards (accepted) (no play)",2.060,1.730
Quarter,Time,Down,ToGo,Location,DEN,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,15,DEN 42,3,7,Russell Wilson sacked by Uchenna Nwosu for -2 yards,1.730,0.570
2,14:14,2,17,DEN 40,3,7,Melvin Gordon left guard for 5 yards (tackle by Cody Barton and Jordyn Brooks),0.570,0.560
2,13:29,3,12,DEN 45,3,7,"Russell Wilson pass incomplete short middle intended for Albert Okwuegbunam (defended by Uchenna Nwosu). Penalty on Garett Bolles: Illegal Formation, 5 yards (declined)",0.560,-0.390
2,13:23,4,12,DEN 45,3,7,"Corliss Waitman punts 36 yards, fair catch by Tyler Lockett at SEA-19",-0.390,-0.150
2,13:14,1,10,SEA 19,3,7,Rashaad Penny right guard for 1 yard (tackle by Ronald Darby),0.150,-0.200
2,12:39,2,9,SEA 20,3,7,Geno Smith pass complete short middle to D.K. Metcalf for 8 yards (tackle by Patrick Surtain),-0.200,0.100
2,12:02,3,1,SEA 28,3,7,Geno Smith pass complete short right to Rashaad Penny for 3 yards (tackle by K'Waun Williams),0.100,1.000
2,11:28,1,10,SEA 31,3,7,"Geno Smith pass complete short right to D'Wayne Eskridge for no gain (tackle by Jonathon Cooper). Penalty on Jonathon Cooper: Taunting / Defense, 15 yards (accepted)",1.000,1.990
2,11:01,1,10,SEA 46,3,7,"Rashaad Penny right tackle for 26 yards. Rashaad Penny fumbles (forced by Ronald Darby), recovered by Austin Blythe at DEN-26",1.990,3.840
2,10:13,1,10,DEN 26,3,7,"Geno Smith pass complete short right to Travis Homer for no gain (tackle by Randy Gregory). Penalty on Randy Gregory: Illegal Contact, 5 yards (accepted) (no play)",3.840,4.170
2,9:51,1,10,DEN 21,3,7,Rashaad Penny left tackle for 2 yards (tackle by D.J. Jones),4.170,3.900
2,9:14,2,8,DEN 19,3,7,"Geno Smith scrambles up the middle for no gain (tackle by Bradley Chubb and Kareem Jackson). Penalty on Phil Haynes: Offensive Holding, 10 yards (accepted) (no play)",3.900,2.550
2,8:48,2,18,DEN 29,3,7,Geno Smith pass complete short left to D.K. Metcalf for -8 yards (tackle by Baron Browning),2.550,0.830
2,8:04,3,26,DEN 37,3,7,Geno Smith pass complete short middle to Marquise Goodwin for 6 yards (tackle by Alex Singleton and Justin Simmons),0.830,1.320
2,7:25,4,20,DEN 31,3,10,Jason Myers 49 yard field goal good,1.320,3.000
2,7:20,,,SEA 35,3,10,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
2,7:20,1,10,DEN 25,3,10,Javonte Williams right guard for -1 yards (tackle by Michael Jackson),0.610,-0.070
2,6:34,2,11,DEN 24,3,10,Russell Wilson pass complete short right to Javonte Williams for 9 yards (tackle by Jordyn Brooks),-0.070,0.430
2,5:46,3,2,DEN 33,9,10,"Russell Wilson pass complete deep left to Jerry Jeudy for 67 yards, touchdown",0.430,7.000
2,5:34,,,SEA 15,10,10,Brandon McManus kicks extra point good,0.000,0.000
2,5:34,,,DEN 35,10,10,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
2,5:34,1,10,SEA 25,10,10,Geno Smith pass complete short right to Will Dissly for 3 yards (tackle by Jonas Griffith),0.610,0.470
2,4:50,2,7,SEA 28,10,10,"Rashaad Penny up the middle for 4 yards (tackle by Ronald Darby). Penalty on D.J. Jones: Defensive Holding, 5 yards (accepted)",0.470,1.400
2,4:20,1,10,SEA 37,10,10,Geno Smith pass incomplete short left intended for Rashaad Penny,1.400,0.860
2,4:15,2,10,SEA 37,10,10,Geno Smith pass complete deep left to Marquise Goodwin for 16 yards,0.860,2.460
2,3:37,1,10,DEN 47,10,10,Geno Smith pass complete short right to Colby Parkinson for 18 yards (tackle by Justin Simmons),2.460,3.640
2,3:07,1,10,DEN 29,10,10,Geno Smith pass complete short left to D.K. Metcalf for 4 yards (tackle by Jonas Griffith),3.640,3.640
2,2:31,2,6,DEN 25,10,16,"Geno Smith pass complete deep right to Colby Parkinson for 25 yards, touchdown",3.640,7.000
2,2:24,,,DEN 15,10,17,Jason Myers kicks extra point good,0.000,0.000
2,2:24,,,SEA 35,10,17,"Jason Myers kicks off 65 yards, returned by Montrell Washington for 21 yards (tackle by Tanner Muse)",0.000,0.340
2,2:19,1,10,DEN 21,10,17,Javonte Williams right end for 10 yards (tackle by Michael Jackson),0.340,1.000
2,2:00,1,10,DEN 31,10,17,Russell Wilson pass complete short right to Javonte Williams for 13 yards (tackle by Uchenna Nwosu and Quandre Diggs),1.000,1.860
2,1:29,1,10,DEN 44,10,17,Russell Wilson scrambles up the middle for 2 yards (tackle by Uchenna Nwosu and Quinton Jefferson),1.860,1.590
2,0:55,2,8,DEN 46,10,17,Russell Wilson pass incomplete deep left intended for KJ Hamler,1.590,0.890
2,0:48,,,,,,Timeout #1 by Denver Broncos,,
2,0:48,3,8,DEN 46,10,17,Russell Wilson pass complete deep right to Courtland Sutton for 30 yards (tackle by Jordyn Brooks),0.890,3.970
2,0:38,1,10,SEA 24,10,17,Russell Wilson pass incomplete deep left intended for Courtland Sutton,3.970,3.430
