Unnamed: 0,DEN,SEA
First Downs,20,19
Rush-Yds-TDs,20-103-0,19-76-0
Cmp-Att-Yd-TD-INT,29-42-340-1-0,23-28-195-2-0
Sacked-Yards,2-10,2-18
Net Pass Yards,330,177
Total Yards,433,253
Fumbles-Lost,2-2,3-1
Turnovers,2,1
Penalties-Yards,12-106,5-77
Third Down Conv.,8-15,6-11
Fourth Down Conv.,0-1,0-1
Time of Possession,33:39,26:21
