Quarter,Time,Tm,Detail,DEN,SEA
1.0,11:26,Seahawks,Will Dissly 38 yard pass from Geno Smith (Jason Myers kick),0,7
,6:55,Broncos,Brandon McManus 30 yard field goal,3,7
2.0,7:20,Seahawks,Jason Myers 49 yard field goal,3,10
,5:48,Broncos,Jerry Jeudy 67 yard pass from Russell Wilson (Brandon McManus kick),10,10
,2:24,Seahawks,Colby Parkinson 25 yard pass from Geno Smith (Jason Myers kick),10,17
,0:00,Broncos,Brandon McManus 40 yard field goal,13,17
4.0,6:13,Broncos,Brandon McManus 26 yard field goal,16,17
