Quarter,Time,Tm,Detail,MIA,DAL
1.0,2:42,Dolphins,Shayne Graham 26 yard field goal,3,0
2.0,4:38,Cowboys,Dan Bailey 32 yard field goal,3,3
,0:55,Cowboys,Laurent Robinson 5 yard pass from Tony Romo (Dan Bailey kick),3,10
,0:00,Dolphins,Shayne Graham 28 yard field goal,6,10
3.0,8:02,Dolphins,Shayne Graham 27 yard field goal,9,10
,3:54,Dolphins,Brandon Marshall 35 yard pass from Matt Moore (Shayne Graham kick),16,10
4.0,14:31,Cowboys,Laurent Robinson 18 yard pass from Tony Romo (Dan Bailey kick),16,17
,7:14,Dolphins,Shayne Graham 23 yard field goal,19,17
,0:00,Cowboys,Dan Bailey 28 yard field goal,19,20
