Unnamed: 0,MIA,DAL
First Downs,18,19
Rush-Yds-TDs,25-89-0,23-85-0
Cmp-Att-Yd-TD-INT,19-32-288-1-0,22-34-226-2-2
Sacked-Yards,4-25,1-8
Net Pass Yards,263,218
Total Yards,352,303
Fumbles-Lost,3-1,0-0
Turnovers,1,2
Penalties-Yards,6-55,11-69
Third Down Conv.,3-12,2-9
Fourth Down Conv.,0-0,0-0
Time of Possession,31:28,28:32
