Unnamed: 0,MIN,ATL
First Downs,23,18
Rush-Yds-TDs,33-146-1,28-110-1
Cmp-Att-Yd-TD-INT,25-36-236-2-0,21-38-268-1-1
Sacked-Yards,4-19,1-8
Net Pass Yards,217,260
Total Yards,363,370
Fumbles-Lost,3-2,1-1
Turnovers,2,2
Penalties-Yards,1-4,8-62
Third Down Conv.,7-16,10-18
Fourth Down Conv.,1-1,0-0
Time of Possession,31:32,28:28
