Quarter,Time,Tm,Detail,OAK,DEN
1.0,9:40,Broncos,Connor Barth 49 yard field goal,0,3
,5:37,Broncos,C.J. Anderson 11 yard rush (Connor Barth kick),0,10
,3:42,Raiders,Keith McGill 18 yard defensive fumble return (Sebastian Janikowski kick),7,10
2.0,13:08,Broncos,C.J. Anderson 1 yard rush (Connor Barth kick),7,17
,0:23,Broncos,Connor Barth 36 yard field goal,7,20
3.0,14:08,Broncos,C.J. Anderson 25 yard rush (Connor Barth kick),7,27
,8:55,Raiders,Jamize Olawale 1 yard pass from Derek Carr (Sebastian Janikowski kick),14,27
,5:38,Broncos,Connor Barth 35 yard field goal,14,30
4.0,10:18,Broncos,Connor Barth 21 yard field goal,14,33
,4:48,Broncos,Tony Carter 20 yard defensive fumble return (Connor Barth kick),14,40
,1:56,Broncos,Virgil Green 1 yard pass from Brock Osweiler (Connor Barth kick),14,47
