Unnamed: 0,TEN,NWE
First Downs,15,17
Rush-Yds-TDs,21-59-0,26-93-0
Cmp-Att-Yd-TD-INT,23-34-274-2-2,23-35-267-2-0
Sacked-Yards,5-51,2-14
Net Pass Yards,223,253
Total Yards,282,346
Fumbles-Lost,2-1,1-1
Turnovers,3,1
Penalties-Yards,3-29,5-35
Third Down Conv.,3-12,7-16
Fourth Down Conv.,0-1,0-0
Time of Possession,30:23,29:37
