Unnamed: 0,SFO,CIN
First Downs,27,14
Rush-Yds-TDs,42-259-2,19-25-0
Cmp-Att-Yd-TD-INT,18-26-312-3-1,26-42-311-2-1
Sacked-Yards,0-0,4-20
Net Pass Yards,312,291
Total Yards,571,316
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,9-75,7-60
Third Down Conv.,5-9,9-18
Fourth Down Conv.,0-0,1-2
Time of Possession,32:19,27:41
