Quarter,Time,Tm,Detail,SFO,CIN
1.0,11:13,49ers,Marquise Goodwin 38 yard pass from Jimmy Garoppolo (Robbie Gould kick),7,0
,6:43,Bengals,Tyler Eifert 1 yard pass from Andy Dalton (Randy Bullock kick),7,7
,2:36,49ers,Raheem Mostert 39 yard pass from Jimmy Garoppolo (Robbie Gould kick),14,7
2.0,10:09,49ers,Jeff Wilson 2 yard rush (Robbie Gould kick),21,7
,6:57,Bengals,Randy Bullock 37 yard field goal,21,10
,0:02,49ers,Robbie Gould 33 yard field goal,24,10
3.0,12:10,49ers,Deebo Samuel 2 yard pass from Jimmy Garoppolo (Robbie Gould kick),31,10
,4:34,49ers,Robbie Gould 38 yard field goal,34,10
4.0,14:56,49ers,Jeff Wilson 4 yard rush (Robbie Gould kick),41,10
,0:45,Bengals,John Ross 66 yard pass from Andy Dalton (Randy Bullock kick),41,17
