Quarter,Time,Down,ToGo,Location,SFO,CIN,Detail,EPB,EPA
1,6:44,2,1,SFO 1,7,6,"Andy Dalton pass complete short right to Tyler Eifert for 1 yard, touchdown",5.910,7.000
1,6:43,,,SFO 15,7,7,Randy Bullock kicks extra point good,0.000,0.000
1,6:43,,,CIN 35,7,7,"Randy Bullock kicks off 62 yards, returned by Richie James for 13 yards (tackle by Brandon Wilson)",0.000,-0.140
1,6:38,1,10,SFO 16,7,7,Jimmy Garoppolo pass incomplete short left intended for Kyle Juszczyk,-0.140,-0.660
1,6:35,2,10,SFO 16,7,7,Jimmy Garoppolo pass complete short right to Marquise Goodwin for 14 yards (tackle by Dre Kirkpatrick),-0.660,0.940
1,5:57,1,10,SFO 30,7,7,Raheem Mostert right guard for 3 yards (tackle by Preston Brown and Sam Hubbard),0.940,0.800
1,5:23,2,7,SFO 33,7,7,Jimmy Garoppolo up the middle for 1 yard (tackle by Geno Atkins and Carlos Dunlap),0.800,0.230
1,4:42,3,6,SFO 34,7,7,Jimmy Garoppolo up the middle for 9 yards (tackle by Shawn Williams),0.230,1.800
1,4:00,1,10,SFO 43,7,7,Matt Breida right guard for 12 yards (tackle by Preston Brown and Jessie Bates),1.800,2.590
1,3:24,1,10,CIN 45,7,7,Matt Breida right tackle for 6 yards (tackle by Kerry Wynn and Preston Brown),2.590,2.850
1,2:46,2,4,CIN 39,13,7,"Jimmy Garoppolo pass complete short left to Raheem Mostert for 39 yards, touchdown",2.850,7.000
1,2:36,,,CIN 15,14,7,Robbie Gould kicks extra point good,0.000,0.000
1,2:36,,,SFO 35,14,7,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.000,0.610
1,2:36,1,10,CIN 25,14,7,Joe Mixon right guard for -2 yards (tackle by Ronald Blair),0.610,-0.210
1,1:59,2,12,CIN 23,14,7,"Andy Dalton pass complete short right to Joe Mixon for no gain (tackle by Richard Sherman). Penalty on Solomon Thomas: Roughing the Passer, 15 yards",-0.210,1.470
1,1:32,1,10,CIN 38,14,7,Joe Mixon left end for 4 yards (tackle by Ahkello Witherspoon),1.470,1.460
1,0:56,2,6,CIN 42,14,7,"Joe Mixon right guard for 12 yards (tackle by Dre Greenlaw and Jaquiski Tartt). Penalty on Andre Smith: Offensive Holding, 10 yards (no play)",1.460,0.110
1,0:29,2,16,CIN 32,14,7,Giovani Bernard left guard for -3 yards (tackle by Ronald Blair),0.110,-0.960
1,0:01,3,19,CIN 29,14,7,"Penalty on Andre Smith: False Start, 5 yards (no play)",-0.960,-1.620
Quarter,Time,Down,ToGo,Location,SFO,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,24,CIN 24,14,7,Andy Dalton pass complete short middle to Giovani Bernard for 7 yards (tackle by K'Waun Williams and Tarvarius Moore),-1.620,-1.310
2,14:24,4,17,CIN 31,14,7,"Kevin Huber punts 44 yards, fair catch by Richie James at SF-25",-1.310,-0.610
2,14:19,1,10,SFO 25,14,7,"Penalty on Mike McGlinchey: False Start, 5 yards (no play)",0.610,0.280
2,14:19,1,15,SFO 20,14,7,Jimmy Garoppolo pass incomplete short left intended for Raheem Mostert,0.280,-0.610
2,14:15,,,,,,Timeout #1 by San Francisco 49ers,,
2,14:15,2,15,SFO 20,14,7,"Penalty on Jimmy Garoppolo: False Start, 5 yards (no play)",-0.610,-1.430
2,14:15,2,20,SFO 15,14,7,Jimmy Garoppolo pass deep left intended for Richie James is intercepted by William Jackson at SF-45 and returned for 19 yards,-1.430,-3.840
2,14:04,1,10,SFO 26,14,7,"Andy Dalton pass complete short left to Joe Mixon for 11 yards (tackle by Tarvarius Moore). Penalty on Michael Jordan: Offensive Holding, 10 yards (no play)",3.840,3.180
2,13:41,1,20,SFO 36,14,7,Andy Dalton pass complete short middle to John Ross for 5 yards (tackle by Kwon Alexander),3.180,2.620
2,13:05,2,15,SFO 31,14,7,Andy Dalton pass incomplete short right intended for Joe Mixon,2.620,1.950
2,13:01,3,15,SFO 31,14,7,"Andy Dalton up the middle for 2 yards Andy Dalton pass incomplete deep middle intended for Auden Tate. Penalty on Andy Dalton: Illegal Forward Pass, 5 yards",1.950,1.060
2,12:53,4,18,SFO 34,14,7,Randy Bullock 52 yard field goal no good,1.060,-1.730
2,12:50,1,10,SFO 42,14,7,Matt Breida up the middle for 4 yards (tackle by Dre Kirkpatrick),1.730,1.730
2,12:07,2,6,SFO 46,14,7,Matt Breida left guard for 5 yards (tackle by Preston Brown),1.730,1.690
2,11:26,3,1,CIN 49,14,7,Matt Breida left tackle for 34 yards (tackle by Shawn Williams),1.690,4.580
2,11:02,1,10,CIN 15,14,7,Jimmy Garoppolo pass complete short right to George Kittle for 9 yards (tackle by Preston Brown),4.580,5.600
2,10:48,2,1,CIN 6,14,7,Jeff Wilson right guard for 4 yards (tackle by Shawn Williams and Preston Brown),5.600,6.740
2,10:11,1,2,CIN 2,20,7,"Jeff Wilson left tackle for 2 yards, touchdown",6.740,7.000
2,10:09,,,CIN 15,21,7,Robbie Gould kicks extra point good,0.000,0.000
2,10:09,,,SFO 35,21,7,"Mitch Wishnowsky kicks off 67 yards, returned by Darius Phillips for 22 yards (tackle by Emmanuel Moseley)",0.000,0.280
2,10:04,1,10,CIN 20,21,7,"Andy Dalton pass incomplete short left intended for John Ross (defended by Ahkello Witherspoon). Penalty on Ahkello Witherspoon: Defensive Delay of Game, 5 yards",0.280,0.410
2,10:01,2,5,CIN 25,21,7,Giovani Bernard left guard for 2 yards (tackle by Kwon Alexander),0.410,-0.030
2,9:21,3,3,CIN 27,21,7,Andy Dalton pass complete short middle to John Ross for 34 yards (tackle by K'Waun Williams and Kwon Alexander),-0.030,2.980
2,8:53,1,10,SFO 39,21,7,Andy Dalton pass incomplete deep left intended for Damion Willis,2.980,2.440
2,8:47,2,10,SFO 39,21,7,Giovani Bernard right guard for 1 yard (tackle by K'Waun Williams),2.440,1.880
2,8:11,3,9,SFO 38,21,7,Andy Dalton pass complete short middle to Alex Erickson for 14 yards (tackle by Ahkello Witherspoon and Kwon Alexander),1.880,3.970
2,7:47,1,10,SFO 24,21,7,Andy Dalton pass incomplete short right intended for John Ross,3.970,3.430
2,7:44,2,10,SFO 24,21,7,Giovani Bernard left guard for 5 yards (tackle by Arik Armstead and Fred Warner),3.430,3.410
2,7:05,3,5,SFO 19,21,7,Andy Dalton pass incomplete short left intended for Alex Erickson,3.410,2.240
2,7:02,4,5,SFO 19,21,10,Randy Bullock 37 yard field goal good,2.240,3.000
2,6:57,,,CIN 35,21,10,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
2,6:57,1,10,SFO 25,21,10,Jimmy Garoppolo pass complete short left to Deebo Samuel for 38 yards (tackle by Shawn Williams),0.610,3.120
2,6:22,1,10,CIN 37,21,10,Raheem Mostert right tackle for 1 yard (tackle by Carl Lawson and Geno Atkins),3.120,2.710
2,5:43,2,9,CIN 36,21,10,Jimmy Garoppolo pass complete short left to Deebo Samuel for 7 yards (tackle by Jessie Bates),2.710,2.940
2,5:01,3,2,CIN 29,21,10,"Raheem Mostert left tackle for 29 yards. Penalty on Michael Person: Offensive Holding, 10 yards. Penalty on Laken Tomlinson: Offensive Holding (Declined) (no play)",2.940,1.620
2,4:54,3,12,CIN 39,21,10,Jimmy Garoppolo pass incomplete short right intended for Richie James (defended by Dre Kirkpatrick),1.620,0.660
2,4:49,4,12,CIN 39,21,10,Mitch Wishnowsky punts 36 yards downed by D.J. Reed,0.660,0.380
2,4:42,1,10,CIN 3,,,,-0.380,-0.120
2,4:06,2,1,CIN 12,21,10,Andy Dalton pass complete short right to Tyler Eifert for no gain (tackle by Kwon Alexander),-0.120,-0.370
2,3:29,3,1,CIN 12,21,10,Andy Dalton pass complete short right to Tyler Boyd for 9 yards (tackle by Jaquiski Tartt),-0.370,0.340
2,3:09,1,10,CIN 21,21,10,Andy Dalton pass incomplete short right intended for Damion Willis (defended by Ahkello Witherspoon),0.340,-0.200
2,3:04,2,10,CIN 21,21,10,Joe Mixon left end for -2 yards (tackle by Arik Armstead),-0.200,-1.220
2,2:18,3,12,CIN 19,21,10,Andy Dalton pass complete short middle to Tyler Boyd for 12 yards (tackle by Fred Warner),-1.220,1.000
2,2:00,1,10,CIN 31,21,10,Andy Dalton pass incomplete short left intended for Auden Tate (defended by Kwon Alexander),1.000,0.460
2,1:55,2,10,CIN 31,21,10,Andy Dalton pass complete short right to Tyler Boyd for 10 yards (tackle by Fred Warner and Jaquiski Tartt),0.460,1.660
2,1:29,1,10,CIN 41,21,10,Andy Dalton pass incomplete short right intended for Giovani Bernard (defended by Kwon Alexander),1.660,1.120
2,1:25,2,10,CIN 41,21,10,"Andy Dalton pass incomplete deep right intended for John Ross. Penalty on Nick Bosa: Defensive Offside, 5 yards (no play)",1.120,1.800
2,1:20,2,5,CIN 46,21,10,Andy Dalton pass deep right intended for Tyler Eifert is intercepted by Kwon Alexander at SF-33 and returned for no gain. Penalty on Bobby Hart: Offensive Holding (Declined),1.800,-1.140
2,1:14,1,10,SFO 33,21,10,Jimmy Garoppolo pass complete short left to Matt Breida for 11 yards (tackle by Brandon Wilson),1.140,1.860
2,1:09,1,10,SFO 44,21,10,Jimmy Garoppolo pass incomplete short left intended for Deebo Samuel,1.860,1.320
2,1:05,2,10,SFO 44,21,10,Dante Pettis pass complete short left to Raheem Mostert for 16 yards (tackle by Shawn Williams),1.320,2.920
2,0:57,1,10,CIN 40,21,10,Jimmy Garoppolo pass incomplete short right intended for Kendrick Bourne,2.920,2.370
2,0:52,2,10,CIN 40,21,10,Raheem Mostert left tackle for 5 yards (tackle by Sam Hubbard and Preston Brown),2.370,2.340
2,0:44,,,,,,Timeout #2 by San Francisco 49ers,,
2,0:44,3,5,CIN 35,21,10,Jimmy Garoppolo pass complete short left to Richie James for 7 yards (tackle by B.W. Webb),2.340,3.710
2,0:26,,,,,,Timeout #1 by Cincinnati Bengals,,
2,0:26,1,10,CIN 28,21,10,Jimmy Garoppolo pass complete short right to Kendrick Bourne for 4 yards (tackle by Dre Kirkpatrick),3.710,3.710
2,0:17,,,,,,Timeout #3 by San Francisco 49ers,,
2,0:17,2,6,CIN 24,21,10,Jimmy Garoppolo pass complete short right to George Kittle for 9 yards,3.710,4.580
2,0:11,1,10,CIN 15,21,10,Jimmy Garoppolo pass incomplete short right intended for Deebo Samuel,4.580,3.950
2,0:06,2,10,CIN 15,24,10,Robbie Gould 33 yard field goal good,3.950,3.000
2,0:02,,,SFO 35,24,10,"Robbie Gould kicks off 37 yards, returned by Giovani Bernard for 14 yards (tackle by Mark Nzeocha)",0.000,1.270
Quarter,Time,Down,ToGo,Location,SFO,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 35,24,10,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,SFO 25,24,10,Jimmy Garoppolo pass complete deep right to Deebo Samuel for 39 yards (tackle by Shawn Williams),0.610,3.180
3,14:24,1,10,CIN 36,24,10,"Matt Breida left end for 6 yards (tackle by Jessie Bates). Penalty on Joe Staley: Offensive Holding, 10 yards",3.180,2.920
3,14:00,1,14,CIN 40,24,10,Matt Breida left end for 15 yards (tackle by Carlos Dunlap),2.920,3.910
3,13:30,1,10,CIN 25,24,10,Raheem Mostert right end for 9 yards (tackle by Dre Kirkpatrick),3.910,4.750
3,13:11,2,1,CIN 16,24,10,Jimmy Garoppolo pass complete short middle to Raheem Mostert for 13 yards (tackle by Preston Brown and Nick Vigil),4.750,6.510
3,12:50,1,3,CIN 3,24,10,Raheem Mostert up the middle for 1 yard (tackle by Sam Hubbard),6.510,5.720
3,12:15,2,2,CIN 2,30,10,"Jimmy Garoppolo pass complete short right to Deebo Samuel for 2 yards, touchdown",5.720,7.000
3,12:10,,,CIN 15,31,10,Robbie Gould kicks extra point good,0.000,0.000
3,12:10,,,SFO 35,31,10,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.000,0.610
3,12:10,1,10,CIN 25,31,10,Andy Dalton pass complete short right to Damion Willis for 6 yards (tackle by Jaquiski Tartt and Richard Sherman),0.610,0.870
3,11:47,2,4,CIN 31,31,10,Joe Mixon left guard for 3 yards (tackle by K'Waun Williams and Kwon Alexander),0.870,0.560
3,11:10,3,1,CIN 34,31,10,Joe Mixon left guard for 3 yards (tackle by Ronald Blair),0.560,1.400
3,10:31,1,10,CIN 37,31,10,Andy Dalton sacked by Ronald Blair for -5 yards,1.400,0.180
3,9:57,2,15,CIN 32,31,10,Andy Dalton pass incomplete short middle intended for Joe Mixon (defended by Jullian Taylor),0.180,-0.490
3,9:54,3,15,CIN 32,31,10,Andy Dalton sacked by DeForest Buckner for -6 yards,-0.490,-1.630
3,9:18,4,21,CIN 26,31,10,"Kevin Huber punts 43 yards, fair catch by Richie James at SF-31",-1.630,-1.000
3,9:12,1,10,SFO 31,31,10,Matt Breida left end for 7 yards (tackle by Dre Kirkpatrick),1.000,1.410
3,8:45,2,3,SFO 38,31,10,Matt Breida right tackle for 18 yards (tackle by Shawn Williams),1.410,2.650
3,8:04,1,10,CIN 44,31,10,Raheem Mostert left end for 1 yard (tackle by Preston Brown and Geno Atkins),2.650,2.250
3,7:18,2,9,CIN 43,31,10,"Raheem Mostert right guard for 5 yards (tackle by B.W. Webb). Penalty on Michael Person: Offensive Holding, 10 yards (no play)",2.250,0.900
3,6:50,2,19,SFO 47,31,10,Jimmy Garoppolo pass complete deep left to Marquise Goodwin for 25 yards (tackle by Jessie Bates),0.900,3.710
3,6:09,1,10,CIN 28,31,10,Matt Breida left guard for -4 yards (tackle by Andrew Billings),3.710,2.630
3,5:28,2,14,CIN 32,31,10,Matt Breida left end for 12 yards (tackle by William Jackson and Carlos Dunlap),2.630,3.530
3,4:44,3,2,CIN 20,31,10,Jimmy Garoppolo pass incomplete short right intended for Richie James,3.530,2.250
3,4:39,4,2,CIN 20,34,10,Robbie Gould 38 yard field goal good,2.250,3.000
3,4:34,,,SFO 35,34,10,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.000,0.610
3,4:34,1,10,CIN 25,34,10,Andy Dalton pass complete short middle to Tyler Boyd for 8 yards (tackle by Fred Warner),0.610,1.140
3,4:07,2,2,CIN 33,34,10,Andy Dalton sacked by Solomon Thomas for -1 yards,1.140,0.300
3,3:21,3,3,CIN 32,34,10,Andy Dalton pass incomplete short middle intended for Alex Erickson,0.300,-1.240
3,3:17,4,3,CIN 32,34,10,"Kevin Huber punts 50 yards, returned by Richie James for no gain (tackle by Brandon Wilson)",-1.240,-0.040
3,3:09,1,10,SFO 18,34,10,Jimmy Garoppolo pass complete short right to George Kittle for 36 yards (tackle by Jessie Bates),0.040,2.520
3,2:21,1,10,CIN 46,34,10,Raheem Mostert left end for 6 yards (tackle by Andrew Billings),2.520,2.790
3,1:55,2,4,CIN 40,34,10,Raheem Mostert left guard for 7 yards (tackle by Shawn Williams),2.790,3.380
3,1:10,1,10,CIN 33,34,10,Raheem Mostert right end for 20 yards (tackle by Jessie Bates),3.380,4.710
3,0:30,1,10,CIN 13,34,10,Jeff Wilson left guard for 9 yards (tackle by Geno Atkins),4.710,5.730
Quarter,Time,Down,ToGo,Location,SFO,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,1,CIN 4,40,10,"Jeff Wilson right guard for 4 yards, touchdown",5.730,7.000
4,14:56,,,CIN 15,41,10,Robbie Gould kicks extra point good,0.000,0.000
4,14:56,,,SFO 35,41,10,"Mitch Wishnowsky kicks off 69 yards, returned by Darius Phillips for 24 yards (tackle by Dre Greenlaw and Azeez Al-Shaair). Penalty on Clayton Fejedelem: Offensive Holding (Declined) . Penalty on Jordan Evans: Illegal Block Above the Waist, 10 yards",0.000,-0.380
4,14:48,1,10,CIN 10,41,10,Joe Mixon left tackle for -2 yards (tackle by Sheldon Day),-0.380,-0.930
4,14:23,2,12,CIN 8,41,10,Andy Dalton pass complete short middle to Joe Mixon for 7 yards (tackle by Ahkello Witherspoon),-0.930,-0.840
4,13:45,3,5,CIN 15,41,10,Andy Dalton pass incomplete deep left intended for John Ross,-0.840,-2.440
4,13:37,4,5,CIN 15,41,10,"Kevin Huber punts 49 yards, returned by Richie James for 4 yards (tackle by Jordan Evans)",-2.440,-1.600
4,13:30,1,10,SFO 40,41,10,Raheem Mostert left guard for 3 yards (tackle by Carlos Dunlap and Preston Brown),1.600,1.460
4,12:53,2,7,SFO 43,41,10,Raheem Mostert right end for 11 yards (tackle by Jessie Bates),1.460,2.520
4,12:07,1,10,CIN 46,41,10,Jeff Wilson left guard for 14 yards (tackle by Jessie Bates),2.520,3.450
4,11:28,1,10,CIN 32,41,10,Jeff Wilson left tackle for 1 yard (tackle by Sam Hubbard),3.450,3.040
4,10:44,2,9,CIN 31,41,10,Raheem Mostert left guard for 6 yards (tackle by Preston Brown),3.040,3.140
4,10:01,3,3,CIN 25,41,10,Raheem Mostert left tackle for 10 yards (tackle by Nick Vigil and Jessie Bates),3.140,4.580
4,9:17,1,10,CIN 15,41,10,Jeff Wilson right end for -6 yards (tackle by Carlos Dunlap),4.580,3.210
4,8:33,2,16,CIN 21,41,10,Jeff Wilson right guard for no gain (tackle by Preston Brown and Josh Tupou),3.210,2.540
4,7:48,3,16,CIN 21,41,10,Jimmy Garoppolo pass complete short left to Deebo Samuel for no gain (tackle by Darius Phillips),2.540,2.060
4,7:08,4,16,CIN 21,41,10,Robbie Gould 39 yard field goal no good,2.060,-0.870
4,7:05,1,10,CIN 29,41,10,Andy Dalton pass complete short right to John Ross for 7 yards (tackle by Sheldon Day and D.J. Reed),0.870,1.270
4,6:41,2,3,CIN 36,41,10,Andy Dalton pass incomplete short right intended for Giovani Bernard,1.270,0.560
4,6:39,3,3,CIN 36,41,10,Andy Dalton pass complete short middle to Drew Sample for 21 yards (tackle by Ahkello Witherspoon and Tarvarius Moore),0.560,2.720
4,6:12,1,10,SFO 43,41,10,Andy Dalton pass complete short right to Tyler Boyd for 3 yards (tackle by D.J. Reed),2.720,2.580
4,5:53,2,7,SFO 40,41,10,Giovani Bernard left guard for no gain (tackle by Solomon Thomas and Azeez Al-Shaair),2.580,1.880
4,5:31,3,7,SFO 40,41,10,Andy Dalton pass complete short left to Tyler Boyd for 15 yards (tackle by Tarvarius Moore),1.880,3.910
4,4:58,1,10,SFO 25,41,10,Andy Dalton pass incomplete deep middle intended for Drew Sample,3.910,3.360
4,4:54,2,10,SFO 25,41,10,Andy Dalton pass complete short right to Tyler Boyd for 8 yards (tackle by D.J. Reed),3.360,3.850
4,4:13,3,2,SFO 17,41,10,Giovani Bernard left end for 1 yard (tackle by Tarvarius Moore),3.850,2.530
4,4:10,,,,,,Timeout #1 by San Francisco 49ers,,
4,4:10,4,1,SFO 16,41,10,"Andy Dalton pass complete deep left to Tyler Boyd for 16 yards. Penalty on Billy Price: Offensive Holding, 10 yards (no play)",2.530,1.740
4,4:05,4,11,SFO 26,41,10,Andy Dalton pass incomplete deep right intended for Tyler Eifert (defended by D.J. Reed),1.740,-0.670
4,4:00,1,10,SFO 26,41,10,Jeff Wilson right guard for 3 yards (tackle by Shawn Williams),0.670,0.540
4,3:17,2,7,SFO 29,41,10,"Deebo Samuel left end for 5 yards (tackle by Jessie Bates). Penalty on Kyle Juszczyk: Offensive Holding, 10 yards",0.540,-0.140
4,3:10,2,12,SFO 24,41,10,Jeff Wilson right guard for 3 yards (tackle by Preston Brown and Josh Tupou),-0.140,-0.430
4,2:26,3,9,SFO 27,41,10,Kyle Juszczyk left end for 6 yards (tackle by Ryan Glasgow),-0.430,-1.180
4,2:00,4,3,SFO 33,41,10,Mitch Wishnowsky punts 39 yards out of bounds,-1.180,-0.810
4,1:54,1,10,CIN 28,41,10,Andy Dalton pass complete short left to Drew Sample for 4 yards (tackle by Dre Greenlaw),0.810,0.800
4,1:30,2,6,CIN 32,41,10,Andy Dalton pass complete short left to Tyler Boyd for 2 yards (tackle by Solomon Thomas),0.800,0.370
4,1:00,3,4,CIN 34,41,10,Andy Dalton pass incomplete short right intended for John Ross (defended by D.J. Reed),0.370,-1.110
4,0:56,4,4,CIN 34,41,16,"Andy Dalton pass complete deep middle to John Ross for 66 yards, touchdown",-1.110,7.000
4,0:45,,,SFO 15,41,17,Randy Bullock kicks extra point good,0.000,0.000
4,0:45,,,CIN 35,41,17,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
4,0:45,1,10,SFO 25,41,17,Jimmy Garoppolo kneels for -1 yards,0.610,-0.070
4,0:22,2,11,SFO 24,41,17,Jimmy Garoppolo kneels for -1 yards,-0.070,-0.890
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
