Quarter,Time,Tm,Detail,OAK,BUF
1.0,9:28,Raiders,Jamize Olawale 1 yard rush (Giorgio Tavecchio kick),7,0
2.0,8:46,Bills,Andre Holmes 6 yard pass from Tyrod Taylor (Stephen Hauschka kick),7,7
,0:32,Bills,Matt Milano 40 yard fumble return (Stephen Hauschka kick),7,14
3.0,11:44,Bills,Stephen Hauschka 35 yard field goal,7,17
,8:18,Bills,Stephen Hauschka 44 yard field goal,7,20
4.0,14:57,Bills,Tyrod Taylor 1 yard rush (Stephen Hauschka kick),7,27
,10:50,Raiders,DeAndre Washington 4 yard pass from Derek Carr (Giorgio Tavecchio kick),14,27
,3:12,Bills,LeSean McCoy 48 yard rush (Stephen Hauschka kick),14,34
