Unnamed: 0,OAK,BUF
First Downs,23,17
Rush-Yds-TDs,14-54-1,37-166-2
Cmp-Att-Yd-TD-INT,31-49-313-1-2,20-27-165-1-0
Sacked-Yards,0-0,0-0
Net Pass Yards,313,165
Total Yards,367,331
Fumbles-Lost,4-2,0-0
Turnovers,4,0
Penalties-Yards,6-50,11-95
Third Down Conv.,3-10,6-15
Fourth Down Conv.,1-2,1-1
Time of Possession,24:23,35:37
