Quarter,Time,Down,ToGo,Location,OAK,BUF,Detail,EPB,EPA
1,4:06,3,20,BUF 48,7,0,Tyrod Taylor pass complete short left to LeSean McCoy for -3 yards (tackle by Bruce Irvin),0.230,-0.390
1,3:35,4,23,BUF 45,7,0,"Colton Schmidt punts 47 yards, returned by Jalen Richard for 10 yards (tackle by Andre Holmes)",-0.390,-0.040
1,3:23,1,10,OAK 18,7,0,Derek Carr pass complete deep left to Michael Crabtree for 40 yards (tackle by Shareece Wright),0.040,2.790
1,2:58,1,10,BUF 42,7,0,"DeAndre Washington middle for 1 yard (tackle by Micah Hyde). Penalty on Kelechi Osemele: Offensive Holding, 10 yards (no play)",2.790,2.130
1,2:35,1,20,OAK 48,7,0,Derek Carr pass incomplete short right intended for DeAndre Washington,2.130,0.890
1,2:31,2,20,OAK 48,7,0,DeAndre Washington right tackle for 10 yards (tackle by Trae Elston),0.890,1.550
1,1:49,3,10,BUF 42,7,0,Derek Carr pass incomplete deep right intended for Amari Cooper (defended by TreDavious White),1.550,0.460
1,1:42,4,10,BUF 42,7,0,"Marquette King punts 33 yards, out of bounds",0.460,0.380
1,1:35,1,10,BUF 9,7,0,Tyrod Taylor pass incomplete short left intended for LeSean McCoy,-0.380,-0.780
1,1:29,2,10,BUF 9,7,0,LeSean McCoy right guard for 4 yards (tackle by NaVorro Bowman),-0.780,-0.950
1,0:51,3,6,BUF 13,7,0,Tyrod Taylor pass complete short left to Deonte Thompson for 5 yards (tackle by Sean Smith),-0.950,-2.240
1,0:20,4,1,BUF 18,7,0,"Colton Schmidt punts 46 yards, fair catch by Jalen Richard. Penalty on Shilique Calhoun: Offensive Holding, 10 yards",-2.240,-0.670
1,0:11,1,10,OAK 26,7,0,Derek Carr pass complete short right to Jalen Richard for 1 yard (tackle by Eddie Yarbrough),0.670,0.270
Quarter,Time,Down,ToGo,Location,OAK,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,OAK 27,7,0,Jalen Richard right tackle for 4 yards (tackle by Eddie Yarbrough and Adolphus Washington),0.270,0.100
2,14:18,3,5,OAK 31,7,0,Derek Carr pass complete short right to Cordarrelle Patterson for 3 yards (tackle by Micah Hyde),0.100,-1.110
2,13:38,4,2,OAK 34,7,0,"Marquette King punts 41 yards, returned by Brandon Tate for 11 yards (tackle by Johnny Holton)",-1.110,-1.330
2,13:26,1,10,BUF 36,7,0,Tyrod Taylor pass complete short middle to Nick O'Leary for 5 yards (tackle by Cory James),1.330,1.470
2,12:52,2,5,BUF 41,7,0,Tyrod Taylor pass complete deep right to Zay Jones for 22 yards (tackle by Dexter McDonald),1.470,3.120
2,12:25,1,10,OAK 37,7,0,Tyrod Taylor right end for 3 yards (tackle by Shalom Luani),3.120,2.980
2,11:52,2,7,OAK 34,7,0,LeSean McCoy left guard for 14 yards (tackle by Shalom Luani and T.J. Carrie),2.980,4.240
2,11:13,1,10,OAK 20,7,0,LeSean McCoy middle for 4 yards (tackle by NaVorro Bowman),4.240,4.280
2,10:40,2,6,OAK 16,7,0,Tyrod Taylor pass complete short left to LeSean McCoy for 4 yards (tackle by Dexter McDonald),4.280,4.340
2,10:00,3,2,OAK 12,7,0,Tyrod Taylor pass complete short right to Andre Holmes for 9 yards (tackle by T.J. Carrie),4.340,6.510
2,9:29,1,3,OAK 3,7,0,LeSean McCoy right guard for -3 yards (tackle by Cory James),6.510,4.950
2,8:54,2,6,OAK 6,7,6,"Tyrod Taylor pass complete short left to Andre Holmes for 6 yards, touchdown",4.950,7.000
2,8:46,,,OAK 15,7,7,Steven Hauschka kicks extra point good,0.000,0.000
2,8:46,,,BUF 35,7,7,"Steven Hauschka kicks off 45 yards, returned by Jamize Olawale for 65 yards (tackle by Joe Webb). Penalty on Shalom Luani: Illegal Block Above the Waist, 10 yards",0.000,-0.150
2,8:34,1,10,OAK 19,7,7,DeAndre Washington right end for -1 yards (tackle by Preston Brown and TreDavious White),0.150,-0.560
2,8:07,2,11,OAK 18,7,7,Derek Carr pass complete short left to Amari Cooper for 4 yards (tackle by Leonard Johnson),-0.560,-0.680
2,7:23,3,7,OAK 22,7,7,"Derek Carr pass incomplete short right intended for Michael Crabtree (defended by Shareece Wright). Penalty on Leonard Johnson: Defensive Holding, 5 yards (no play)",-0.680,0.740
2,7:18,1,10,OAK 27,7,7,Derek Carr pass complete short left to DeAndre Washington for 3 yards (tackle by Lorenzo Alexander and Jerry Hughes),0.740,0.600
2,6:24,2,7,OAK 30,7,7,DeAndre Washington middle for 5 yards (tackle by Matt Milano and Adolphus Washington),0.600,0.560
2,5:45,3,2,OAK 35,7,7,Jalen Richard middle for 1 yard (tackle by Kyle Williams),0.560,-0.980
2,5:05,4,1,OAK 36,7,7,Marquette King punts 28 yards,-0.980,-1.330
2,4:53,1,10,BUF 36,7,7,LeSean McCoy middle for 6 yards (tackle by James Cowser),1.330,1.600
2,4:19,2,4,BUF 42,7,7,LeSean McCoy left guard for 5 yards (tackle by Cory James),1.600,2.060
2,3:45,1,10,BUF 47,7,7,"Tyrod Taylor pass complete short right to LeSean McCoy for 5 yards (tackle by NaVorro Bowman). Penalty on Deonte Thompson: Offensive Pass Interference, 10 yards (no play)",2.060,1.400
2,3:33,1,20,BUF 37,7,7,Tyrod Taylor pass complete short middle to Jordan Matthews for 8 yards (tackle by James Cowser),1.400,1.250
2,2:58,2,12,BUF 45,7,7,Tyrod Taylor pass complete short right to Jordan Matthews for 4 yards (tackle by Dexter McDonald),1.250,1.090
2,2:20,3,8,BUF 49,7,7,Tyrod Taylor pass incomplete short right intended for Andre Holmes (defended by Dexter McDonald),1.090,-0.130
2,2:10,4,8,BUF 49,7,7,"Colton Schmidt punts 50 yards, out of bounds",-0.130,0.380
2,2:01,1,10,OAK 1,7,7,DeAndre Washington middle for 3 yards (tackle by Preston Brown and Trae Elston),-0.380,-0.560
2,1:55,2,7,OAK 4,7,7,Derek Carr pass complete short left to Jared Cook for 17 yards (tackle by Trae Elston),-0.560,0.340
2,1:30,1,10,OAK 21,7,7,DeAndre Washington middle for 7 yards (tackle by Adolphus Washington and Preston Brown),0.340,0.750
2,1:03,2,3,OAK 28,7,7,Derek Carr pass complete short middle to DeAndre Washington for 6 yards (tackle by Trae Elston),0.750,1.200
