Quarter,Time,Tm,Detail,LAC,KAN
1.0,1:29,Chiefs,Harrison Butker 40 yard field goal,0,3
2.0,11:44,Chargers,Keenan Allen 12 yard pass from Philip Rivers (Michael Badgley kick),7,3
,2:16,Chiefs,Demarcus Robinson 24 yard pass from Patrick Mahomes (Harrison Butker kick),7,10
3.0,13:14,Chargers,Melvin Gordon 5 yard rush (Michael Badgley kick),14,10
,12:58,Chiefs,Mecole Hardman 104 yard kickoff return (Harrison Butker kick),14,17
,6:26,Chiefs,Damien Williams 84 yard rush (Harrison Butker kick),14,24
4.0,5:23,Chargers,Hunter Henry 8 yard pass from Philip Rivers (Michael Badgley kick),21,24
,2:37,Chiefs,Damien Williams 7 yard rush (Harrison Butker kick),21,31
