Unnamed: 0,LAC,KAN
First Downs,25,16
Rush-Yds-TDs,25-108-1,23-162-2
Cmp-Att-Yd-TD-INT,31-46-281-2-2,16-25-174-1-1
Sacked-Yards,3-23,0-0
Net Pass Yards,258,174
Total Yards,366,336
Fumbles-Lost,0-0,0-0
Turnovers,2,1
Penalties-Yards,8-40,5-39
Third Down Conv.,8-15,7-10
Fourth Down Conv.,2-4,0-0
Time of Possession,36:04,23:56
