Unnamed: 0,SDG,MIA
First Downs,10,23
Rush-Yds-TDs,19-60-0,40-167-1
Cmp-Att-Yd-TD-INT,13-28-159-1-0,22-29-228-1-0
Sacked-Yards,2-17,2-5
Net Pass Yards,142,223
Total Yards,202,390
Fumbles-Lost,0-0,2-1
Turnovers,0,1
Penalties-Yards,4-46,1-5
Third Down Conv.,3-12,7-14
Fourth Down Conv.,0-1,1-1
Time of Possession,23:19,36:41
