Unnamed: 0,SDG,WAS
First Downs,25,27
Rush-Yds-TDs,16-69-0,40-209-4
Cmp-Att-Yd-TD-INT,29-46-341-2-2,23-32-291-0-1
Sacked-Yards,1-0,0-0
Net Pass Yards,341,291
Total Yards,410,500
Fumbles-Lost,0-0,0-0
Turnovers,2,1
Penalties-Yards,7-63,7-65
Third Down Conv.,3-9,12-17
Fourth Down Conv.,1-1,0-0
Time of Possession,25:58,40:03
