Quarter,Time,Down,ToGo,Location,SDG,WAS,Detail,EPB,EPA
1,2:34,4,3,SDG 7,0,0,"Kai Forbath 25 yard field goal no good, blocked by Lawrence Guy",2.990,-0.280
1,2:28,1,10,SDG 20,0,0,Ryan Mathews right tackle for 7 yards (tackle by Brian Orakpo and Reed Doughty),0.280,0.680
1,1:53,2,3,SDG 27,0,0,Danny Woodhead right tackle for 6 yards (tackle by London Fletcher and Kedric Golston),0.680,1.140
1,1:13,1,10,SDG 33,0,0,Ryan Mathews right tackle for 2 yards (tackle by Reed Doughty),1.140,0.860
1,0:35,2,8,SDG 35,0,0,Philip Rivers pass complete short middle to Ladarius Green for 10 yards (tackle by DeAngelo Hall),0.860,1.930
Quarter,Time,Down,ToGo,Location,SDG,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SDG 45,0,0,Philip Rivers left end for 5 yards (tackle by London Fletcher),1.930,2.060
2,14:17,2,5,,0,0,Danny Woodhead left tackle for 4 yards (tackle by David Amerson and DeAngelo Hall),2.060,1.880
2,13:32,3,1,WAS 46,0,0,Philip Rivers pass complete short middle to Antonio Gates for 4 yards (tackle by DeAngelo Hall),1.880,2.790
2,12:51,1,10,WAS 42,0,0,Philip Rivers pass incomplete deep left intended for Vincent Brown,2.790,2.240
2,12:44,2,10,WAS 42,0,0,Ryan Mathews up the middle for 6 yards (tackle by Brandon Meriweather and Rob Jackson),2.240,2.340
2,11:59,3,4,WAS 36,0,0,Philip Rivers pass incomplete deep right intended for Antonio Gates (defended by Perry Riley),2.340,0.890
2,11:52,4,4,WAS 36,0,0,"Mike Scifres punts 35 yards, out of bounds",0.890,0.380
2,11:44,1,10,WAS 1,0,0,Penalty on Darrel Young: False Start (no play),-0.380,-0.380
2,11:43,1,10,WAS 1,6,0,"Robert Griffin pass incomplete short right intended for Leonard Hankerson is intercepted by Sean Lissemore at WAS-0, touchdown",-0.380,-7.000
2,11:35,,,WAS 2,7,0,Nick Novak kicks extra point good,0.000,0.000
2,11:35,,,SDG 35,7,0,"Nick Novak kicks off 68 yards, returned by Josh Morgan for 20 yards (tackle by Seyi Ajirotutu)",0.000,0.060
2,11:28,1,10,WAS 17,7,0,Alfred Morris left tackle for 2 yards (tackle by Sean Lissemore and Manti Te'o),-0.060,-0.250
2,10:50,2,8,WAS 19,7,0,Robert Griffin pass complete short right to Jordan Reed for 3 yards (tackle by Shareece Wright),-0.250,-0.620
2,10:03,3,5,WAS 22,7,0,Robert Griffin pass complete short right to Aldrick Robinson for 4 yards (tackle by Darrell Stuckey),-0.620,-1.630
2,9:29,4,1,WAS 26,7,0,"Saverio Rocca punts 46 yards, fair catch by Keenan Allen",-1.630,-0.810
2,9:21,1,10,SDG 28,7,0,Philip Rivers pass complete short middle to Antonio Gates for 9 yards (tackle by Perry Riley),0.810,1.480
2,8:43,2,1,SDG 37,7,0,Ryan Mathews left end for 5 yards (tackle by Brandon Meriweather and London Fletcher),1.480,1.730
2,7:56,1,10,SDG 42,7,0,Philip Rivers pass complete short left to Danny Woodhead for 5 yards (tackle by Perry Riley),1.730,1.860
2,7:30,2,5,SDG 47,7,0,"Philip Rivers pass incomplete deep middle intended for Vincent Brown is intercepted by E.J. Biggers at WAS-33 and returned for 15 yards (tackle by Nick Hardwick). Penalty on DeAngelo Hall: Personal Foul, 15 yards",1.860,-1.140
2,7:20,1,10,WAS 33,7,0,Robert Griffin pass complete deep right to Leonard Hankerson for 23 yards (tackle by Derek Cox and Manti Te'o),1.140,2.650
2,6:40,1,10,SDG 44,7,0,"Alfred Morris left tackle for -2 yards (tackle by Corey Liuget). Penalty on Corey Liuget: Face Mask (15 Yards), 15 yards",2.650,3.510
2,6:15,1,10,SDG 31,7,0,Alfred Morris left tackle for 26 yards (tackle by Eric Weddle and Shareece Wright),3.510,6.060
2,5:30,1,5,SDG 5,7,6,"Alfred Morris right tackle for 5 yards, touchdown",6.060,7.000
2,5:30,,,SDG 2,7,7,Kai Forbath kicks extra point good,0.000,0.000
2,5:30,,,WAS 35,7,7,"Kai Forbath kicks off 67 yards, returned by Lavelle Hawkins for 27 yards (tackle by Josh Wilson). Penalty on Andrew Gachkar: Offensive Holding, 10 yards",0.000,0.220
2,5:18,1,10,SDG 15,7,7,Philip Rivers pass complete short left to Danny Woodhead for 4 yards (tackle by Brandon Meriweather),-0.220,-0.110
2,4:46,2,6,SDG 19,7,7,Danny Woodhead left tackle for 8 yards (tackle by Perry Riley and London Fletcher),-0.110,0.740
2,4:05,1,10,SDG 27,7,7,Danny Woodhead right guard for no gain (tackle by Brian Orakpo),0.740,0.200
2,3:30,2,10,SDG 27,7,7,Philip Rivers pass incomplete short middle intended for Eddie Royal,0.200,-0.490
2,3:25,3,10,SDG 27,7,7,Philip Rivers pass complete short right to Keenan Allen for 12 yards (tackle by E.J. Biggers and David Amerson),-0.490,1.530
2,2:39,1,10,SDG 39,7,7,Philip Rivers pass complete short middle to Eddie Royal for 5 yards (tackle by Josh Wilson and London Fletcher),1.530,1.660
2,2:00,2,5,SDG 44,7,7,Philip Rivers pass complete short middle to Keenan Allen for 11 yards (tackle by London Fletcher),1.660,2.590
2,1:36,1,10,WAS 45,7,7,Philip Rivers pass complete short middle to Danny Woodhead for 12 yards (tackle by Brandon Meriweather),2.590,3.380
2,1:27,1,10,WAS 33,7,7,"Philip Rivers pass complete short middle to Keenan Allen for 4 yards (tackle by David Amerson). Penalty on Keenan Allen: Offensive Pass Interference, 10 yards (no play)",3.380,2.720
2,1:21,1,20,WAS 43,7,7,Philip Rivers pass complete short middle to Antonio Gates for 8 yards (tackle by London Fletcher and Josh Wilson),2.720,2.570
2,0:56,2,12,WAS 35,7,7,Philip Rivers pass complete short middle to Keenan Allen for 20 yards (tackle by David Amerson),2.570,2.570
2,0:49,2,12,WAS 35,7,7,Timeout #1 by San Diego Chargers,2.570,4.580
2,0:49,1,10,WAS 15,13,7,"Philip Rivers pass complete short right to Eddie Royal for 15 yards, touchdown",4.580,7.000
2,0:49,,,WAS 2,14,7,Nick Novak kicks extra point good,0.000,0.000
2,0:49,,,SDG 35,14,7,"Nick Novak kicks off 65 yards, returned by Josh Morgan for 19 yards (tackle by Johnny Patrick)",0.000,-0.150
2,0:34,1,10,WAS 19,14,7,Robert Griffin pass incomplete short left intended for Pierre Garcon (defended by Corey Liuget),0.150,-0.390
2,0:30,2,10,WAS 19,14,7,Robert Griffin pass incomplete short middle intended for Pierre Garcon (defended by Corey Liuget),-0.390,-1.070
2,0:26,3,10,WAS 19,14,7,Roy Helu left guard for 21 yards (tackle by Jahleel Addae),-1.070,-1.070
2,0:18,3,10,WAS 19,14,7,Timeout #1 by Washington Redskins,-1.070,1.600
2,0:18,1,10,WAS 40,14,7,Robert Griffin for 6 yards,1.600,1.860
2,0:10,2,4,WAS 46,14,7,Robert Griffin pass complete short middle to Pierre Garcon for 13 yards (tackle by Derek Cox),1.860,2.850
2,0:05,1,10,SDG 41,14,7,"Kai Forbath 59 yard field goal no good, blocked by Corey Liuget",2.850,2.130
Quarter,Time,Down,ToGo,Location,SDG,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 35,14,7,"Nick Novak kicks off no gain, returned by Niles Paul for 24 yards (tackle by Eric Weddle)",0.000,0.670
3,14:55,1,10,WAS 26,14,7,Alfred Morris right guard for 10 yards (tackle by Darrell Stuckey and Manti Te'o),0.670,1.330
3,14:17,1,10,WAS 36,14,7,"Alfred Morris left end for 1 yard (tackle by Corey Liuget and Jarret Johnson). Penalty on Chris Chester: Offensive Holding, 10 yards (no play)",1.330,0.670
3,13:51,1,20,WAS 26,14,7,Robert Griffin pass incomplete short middle intended for Niles Paul,0.670,-0.560
3,13:46,2,20,WAS 26,14,7,Alfred Morris up the middle for 8 yards (tackle by Manti Te'o),-0.560,-0.160
3,13:03,3,12,WAS 34,14,7,Robert Griffin pass complete deep left to Pierre Garcon for 38 yards (tackle by Derek Cox). Penalty on Derek Cox: Defensive Pass Interference (Declined),-0.160,3.710
3,12:40,1,10,SDG 28,14,7,Alfred Morris left tackle for 6 yards (tackle by Marcus Gilchrist and Richard Marshall),3.710,3.980
3,12:01,2,4,SDG 22,14,7,Santana Moss for 18 yards (tackle by Derek Cox and Corey Liuget),3.980,6.280
3,11:13,1,4,SDG 4,14,7,Alfred Morris right end for 2 yards (tackle by Eric Weddle and Andrew Gachkar),6.280,5.720
3,10:29,2,2,SDG 2,14,7,Robert Griffin pass complete short right to Logan Paulsen for 1 yard (tackle by Shareece Wright),5.720,5.170
3,9:46,3,1,SDG 1,14,13,"Darrel Young left tackle for 1 yard, touchdown",5.170,7.000
3,9:46,,,SDG 2,14,14,Kai Forbath kicks extra point good,0.000,0.000
3,9:46,,,WAS 35,14,14,"Kai Forbath kicks off 71 yards, returned by Lavelle Hawkins for 19 yards (tackle by Bacarri Rambo)",0.000,0.320
3,9:36,1,10,SDG 13,14,14,Philip Rivers pass complete short middle to Antonio Gates for 10 yards (tackle by Jarvis Jenkins),-0.320,0.480
3,8:56,1,10,SDG 23,14,14,Philip Rivers pass incomplete short middle intended for Danny Woodhead,0.480,-0.070
3,8:51,2,10,SDG 23,14,14,Philip Rivers pass complete short middle to Antonio Gates for 15 yards (tackle by London Fletcher and E.J. Biggers),-0.070,1.470
3,8:07,1,10,SDG 38,14,14,Philip Rivers pass incomplete short middle intended for Danny Woodhead (defended by Stephen Bowen),1.470,0.920
3,8:03,2,10,SDG 38,14,14,Danny Woodhead up the middle for 3 yards (tackle by Brian Orakpo),0.920,0.630
3,7:20,3,7,SDG 41,14,14,Philip Rivers pass incomplete short left intended for Vincent Brown,0.630,-0.650
3,7:13,4,7,SDG 41,14,14,"Mike Scifres punts 44 yards, returned by Josh Morgan for 6 yards (tackle by Ladarius Green)",-0.650,-0.340
3,7:02,1,10,WAS 21,14,14,Robert Griffin pass complete deep middle to Pierre Garcon for 32 yards (tackle by Shareece Wright),0.340,2.460
3,6:19,1,10,SDG 47,14,14,Alfred Morris left end for 3 yards (tackle by Andrew Gachkar and Eric Weddle),2.460,2.320
3,5:37,2,7,SDG 44,14,14,Robert Griffin up the middle for -2 yards (tackle by Manti Te'o),2.320,1.350
3,5:02,3,9,SDG 46,14,14,Robert Griffin left end for 10 yards (tackle by Thomas Keiser),1.350,3.180
3,5:02,1,10,SDG 36,14,14,"Penalty on Corey Liuget: Neutral Zone Infraction, 5 yards (no play)",3.180,3.910
3,3:55,1,5,SDG 31,14,14,Robert Griffin pass complete short left to Leonard Hankerson for 8 yards (tackle by Shareece Wright),3.910,4.040
3,3:20,1,10,SDG 23,14,14,Robert Griffin pass complete short right to Santana Moss for 2 yards (tackle by Johnny Patrick),4.040,3.770
3,2:34,2,8,SDG 21,14,14,Alfred Morris right guard for 7 yards (tackle by Manti Te'o and Andrew Gachkar),3.770,4.280
3,1:46,3,1,SDG 14,14,14,"Penalty on Robert Griffin: Delay of Game, 5 yards (no play)",4.280,4.280
3,1:18,3,1,SDG 14,14,14,Timeout #1 by Washington Redskins,4.280,3.340
3,1:18,3,6,SDG 19,14,14,Robert Griffin pass complete short middle to Leonard Hankerson for 11 yards (tackle by Marcus Gilchrist),3.340,5.370
3,0:35,1,8,SDG 8,14,14,Darrel Young left tackle for 3 yards (tackle by Andrew Gachkar),5.370,5.150
Quarter,Time,Down,ToGo,Location,SDG,WAS,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,SDG 5,14,14,Alfred Morris left guard for 4 yards (tackle by Thomas Keiser and Darrell Stuckey),5.150,5.170
4,14:20,3,1,SDG 1,14,20,"Darrel Young left guard for 1 yard, touchdown",5.170,7.000
4,14:20,,,SDG 2,14,21,Kai Forbath kicks extra point good,0.000,0.000
4,14:20,,,WAS 35,14,21,"Kai Forbath kicks off 66 yards, returned by Lavelle Hawkins for 23 yards (tackle by Darrel Young)",0.000,-0.410
4,14:11,1,10,SDG 22,14,21,Philip Rivers pass complete short right to Vincent Brown for 17 yards (tackle by E.J. Biggers),0.410,1.530
4,13:41,1,10,SDG 39,14,21,Ryan Mathews left guard for 1 yard (tackle by Ryan Kerrigan and Brian Orakpo),1.530,1.120
4,12:58,2,9,SDG 40,14,21,Philip Rivers pass incomplete short middle intended for Antonio Gates,1.120,0.430
4,12:53,3,9,SDG 40,14,21,Philip Rivers pass incomplete deep middle intended for Keenan Allen,0.430,-0.720
4,12:47,4,9,SDG 40,14,21,Mike Scifres punts 31 yards,-0.720,-0.870
4,12:35,1,10,WAS 29,14,21,Robert Griffin pass incomplete deep middle intended for Santana Moss,0.870,0.330
4,12:30,2,10,WAS 29,14,21,Alfred Morris left end for 2 yards (tackle by Eric Weddle),0.330,-0.100
4,11:46,3,8,WAS 31,14,21,Robert Griffin up the middle for 3 yards (tackle by Johnny Patrick),-0.100,-1.110
4,11:15,4,5,WAS 34,14,21,"Saverio Rocca punts 40 yards, out of bounds",-1.110,-0.670
4,11:07,1,10,SDG 26,14,21,Philip Rivers pass complete short middle to Eddie Royal for 15 yards (tackle by Ryan Kerrigan),0.670,1.660
4,10:32,1,10,SDG 41,14,21,Philip Rivers pass incomplete short middle intended for Keenan Allen is intercepted by David Amerson at WAS-49,1.660,-2.190
4,10:25,1,10,WAS 49,14,21,Alfred Morris left end for 7 yards (tackle by Manti Te'o),2.190,2.590
4,9:51,2,3,SDG 44,14,21,Alfred Morris left tackle for 2 yards (tackle by Thomas Keiser and Eric Weddle),2.590,2.150
4,9:08,3,1,SDG 42,14,21,Alfred Morris left tackle for 5 yards (tackle by Cam Thomas and Eric Weddle),2.150,3.120
4,8:32,1,10,SDG 37,14,21,Roy Helu left end for 2 yards (tackle by Andrew Gachkar),3.120,2.840
4,7:52,2,8,SDG 35,14,21,Robert Griffin pass incomplete short right intended for Josh Morgan (defended by Larry English),2.840,2.150
4,7:48,3,8,SDG 35,14,21,Robert Griffin pass complete short middle to Roy Helu for 6 yards (tackle by Darrell Stuckey),2.150,1.600
4,7:06,4,2,SDG 29,14,24,Kai Forbath 47 yard field goal good,1.600,3.000
4,7:06,,,WAS 35,14,24,"Kai Forbath kicks off 65 yards, returned by Lavelle Hawkins for 23 yards (tackle by Josh Hull)",0.000,-0.480
4,6:52,1,10,SDG 23,14,24,Philip Rivers pass incomplete short middle intended for Antonio Gates,0.480,-0.070
4,6:47,2,10,SDG 23,14,24,Philip Rivers pass complete short middle to Danny Woodhead for 7 yards (tackle by Perry Riley and DeAngelo Hall),-0.070,0.170
,,,,,,,"WAS challenged the incomplete pass ruling, and the play was upheld.",,
4,6:19,3,3,SDG 30,14,24,Philip Rivers pass complete short middle to Keenan Allen for 16 yards (tackle by Brandon Meriweather),0.170,1.990
4,5:55,1,10,SDG 46,14,24,Philip Rivers sacked by Rob Jackson for 0 yards,1.990,1.450
4,5:23,2,10,SDG 46,14,24,"Philip Rivers pass complete short middle to Danny Woodhead for 8 yards (tackle by London Fletcher). Penalty on London Fletcher: Horse Collar Tackle, 15 yards",1.450,3.510
4,5:07,1,10,WAS 31,14,24,Philip Rivers pass complete short middle to Danny Woodhead for 8 yards (tackle by Perry Riley),3.510,4.050
4,4:42,2,2,WAS 23,14,24,Philip Rivers pass complete short middle to Antonio Gates for 7 yards (tackle by Josh Wilson),4.050,4.510
4,4:16,1,10,WAS 16,20,24,"Philip Rivers pass complete deep left to Keenan Allen for 16 yards, touchdown",4.510,7.000
4,4:16,,,WAS 2,21,24,Nick Novak kicks extra point good,0.000,0.000
4,4:16,,,SDG 35,21,24,"Nick Novak kicks off 59 yards, muffed catch by Santana Moss, recovered by Santana Moss at WAS-7, and returned for 15 yards",0.000,-0.410
4,4:06,1,10,WAS 22,21,24,Robert Griffin pass complete short middle to Pierre Garcon for 26 yards (tackle by Eric Weddle),0.410,2.130
4,3:19,1,10,WAS 48,21,24,Alfred Morris left tackle for 1 yard (tackle by Larry English and Kendall Reyes),2.130,1.720
4,2:36,2,9,WAS 49,21,24,"Alfred Morris right end for 4 yards (tackle by Corey Liuget). Penalty on Chris Chester: Offensive Holding, 10 yards (no play)",1.720,0.370
4,2:29,2,19,WAS 39,21,24,Robert Griffin pass complete deep middle to Pierre Garcon for 16 yards (tackle by Richard Marshall),0.370,0.370
4,2:22,2,19,WAS 39,21,24,Timeout #1 by San Diego Chargers,0.370,1.820
4,2:22,3,3,SDG 45,21,24,Robert Griffin pass incomplete short left intended for Pierre Garcon,1.820,0.270
4,2:17,4,3,SDG 45,21,24,"Saverio Rocca punts 37 yards, out of bounds",0.270,0.380
4,2:10,1,10,SDG 8,21,24,Philip Rivers pass complete short left to Eddie Royal for 21 yards (tackle by David Amerson),-0.380,0.870
4,2:02,1,10,SDG 29,21,24,Philip Rivers pass complete short middle to Danny Woodhead for 8 yards (tackle by London Fletcher),0.870,1.410
4,1:54,2,2,SDG 37,21,24,Philip Rivers pass incomplete short left intended for Danny Woodhead,1.410,0.700
4,1:50,3,2,SDG 37,21,24,Philip Rivers pass incomplete short middle intended for Vincent Brown,0.700,-0.910
4,1:45,4,2,SDG 37,21,24,Philip Rivers pass complete deep left to Keenan Allen for 22 yards (tackle by DeAngelo Hall),-0.910,-0.910
4,1:18,4,2,SDG 37,21,24,Timeout #3 by Washington Redskins,-0.910,2.850
4,1:18,1,10,WAS 41,21,24,"Penalty on Johnnie Troutman: False Start, 5 yards (no play)",2.850,2.520
4,1:18,1,15,WAS 46,21,24,Philip Rivers pass incomplete deep left intended for Eddie Royal,2.520,1.630
4,1:10,2,15,WAS 46,21,24,Philip Rivers pass complete short middle to Keenan Allen for 20 yards (tackle by David Amerson),1.630,3.840
4,0:45,1,10,WAS 26,21,24,Philip Rivers pass complete short left to Keenan Allen for 11 yards (tackle by London Fletcher),3.840,4.580
4,0:37,1,10,WAS 15,21,24,Philip Rivers right end for 9 yards (tackle by Josh Wilson),4.580,5.600
4,0:29,2,1,WAS 6,21,24,Philip Rivers pass complete short right to Danny Woodhead for 5 yards (tackle by David Amerson),5.600,6.970
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned.",,
4,0:21,1,1,WAS 1,21,24,Danny Woodhead up the middle for no gain (tackle by London Fletcher and Brandon Meriweather),6.970,5.910
4,0:17,2,1,WAS 1,21,24,Philip Rivers pass incomplete short right intended for Antonio Gates,5.910,5.170
4,0:13,3,1,WAS 1,21,24,Philip Rivers pass incomplete short right intended for Keenan Allen,5.170,3.550
4,0:07,4,1,WAS 1,24,24,Nick Novak 19 yard field goal good,3.550,3.000
4,0:07,,,SDG 35,24,24,"Nick Novak kicks off 65 yards, touchback",0.000,-0.280
4,0:03,1,10,WAS 20,24,24,Robert Griffin kneels for -1 yards,0.280,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,SDG,WAS,Detail,EPB,EPA
,,,,,,,"Redskins won the coin toss, Redskins to receive the overtime kickoff.",,
OT,15:00,,,SDG 35,24,24,"Nick Novak kicks off no gain, returned by Josh Morgan for 24 yards (tackle by Johnny Patrick)",0.000,0.410
OT,14:55,1,10,WAS 22,24,24,Robert Griffin pass complete short middle to Leonard Hankerson for 9 yards (tackle by Manti Te'o),0.410,1.080
OT,14:19,2,1,WAS 31,24,24,Alfred Morris left end for 3 yards (tackle by Andrew Gachkar),1.080,1.200
OT,13:57,1,10,WAS 34,24,24,Alfred Morris right tackle for 19 yards (tackle by Eric Weddle),1.200,2.460
OT,13:09,1,10,SDG 47,24,24,Robert Griffin pass complete short left to Logan Paulsen for 1 yard (tackle by Reggie Walker),2.460,2.050
OT,12:29,2,9,SDG 46,24,24,Alfred Morris left tackle for 1 yard (tackle by Jarret Johnson),2.050,1.490
OT,11:50,3,8,SDG 45,24,24,Robert Griffin pass complete short middle to Jordan Reed for 12 yards (tackle by Jahleel Addae and Darrell Stuckey),1.490,3.380
OT,11:09,1,10,SDG 33,24,24,"Alfred Morris left tackle for 2 yards (tackle by Sean Lissemore). Penalty on Will Montgomery: Offensive Holding, 10 yards (no play)",3.380,2.720
OT,10:45,1,20,SDG 43,24,24,"Robert Griffin pass complete short middle to Pierre Garcon for 17 yards (tackle by Andrew Gachkar). Penalty on Andrew Gachkar: Personal Foul, 13 yards",2.720,4.710
OT,10:21,1,10,SDG 13,24,24,Alfred Morris left tackle for 9 yards (tackle by Eric Weddle and Marcus Gilchrist),4.710,5.730
OT,9:36,2,1,SDG 4,24,24,Alfred Morris left tackle for no gain (tackle by Corey Liuget and Bront Bird),5.730,5.010
OT,9:05,3,1,SDG 4,24,30,"Darrel Young right guard for 4 yards, touchdown",5.010,7.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
