Quarter,Time,Tm,Detail,NWE,ATL
1.0,5:05,Patriots,Patrick Pass 6 yard rush (Adam Vinatieri kick),7,0
,1:03,Patriots,Daniel Graham 45 yard pass from Tom Brady (Adam Vinatieri kick),14,0
2.0,13:24,Falcons,Justin Griffith 2 yard pass from Matt Schaub (Todd Peterson kick),14,7
,1:25,Falcons,Todd Peterson 33 yard field goal,14,10
,0:01,Falcons,Michael Koenen 58 yard field goal,14,13
3.0,13:59,Patriots,Ben Watson 33 yard pass from Tom Brady (Adam Vinatieri kick),21,13
,5:50,Patriots,Bethel Johnson 55 yard pass from Tom Brady (Adam Vinatieri kick),28,13
4.0,14:23,Falcons,Alge Crumpler 25 yard pass from Matt Schaub (Todd Peterson kick),28,20
,3:52,Falcons,Dez White 14 yard pass from Matt Schaub (Brian Finneran pass from Matt Schaub),28,28
,0:17,Patriots,Adam Vinatieri 29 yard field goal,31,28
