Unnamed: 0,NWE,ATL
First Downs,20,22
Rush-Yds-TDs,30-141-1,26-116-0
Cmp-Att-Yd-TD-INT,22-27-350-3-1,18-34-298-3-0
Sacked-Yards,1-8,3-14
Net Pass Yards,342,284
Total Yards,483,400
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,11-83,8-84
Third Down Conv.,3-10,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,32:25,27:35
